Date,Airline,Duration,Source,Destination,Departure Time,Arrival Time,Layover Time,Layover Cities,Total stops,Carry bags Count,Checkin bags Count,Price
4/1/2024,Icelandair,11h 00m,Amsterdam,New York,2:10 PM,7:10 PM,1h 35m,Reykjavik Keflavik Intl,1,1,0,727
4/1/2024,Multiple Airlines,31h 30m,Amsterdam,New York,9:00 PM,10:30 PM,"9h 40m,6h 35m","Malaga,Rome Fiumicino",2,0,0,595
4/1/2024,JetBlue,8h 25m,Amsterdam,New York,1:40 PM,4:05 PM,,,0,1,0,"1,259"
4/1/2024,"Lufthansa, Condor",12h 25m,Amsterdam,New York,8:00 AM,2:25 PM,2h 35m,Frankfurt am Main,1,1,1,700
4/1/2024,"easyJet, Neos Air",12h 00m,Amsterdam,New York,8:50 AM,2:50 PM,1h 45m,Milan Malpensa,1,0,0,673
4/1/2024,Aer Lingus,12h 05m,Amsterdam,New York,1:15 PM,7:20 PM,2h 50m,Dublin,1,1,1,825
4/1/2024,British Airways,10h 25m,Amsterdam,New York,10:00 AM,2:25 PM,1h 20m,London Heathrow,1,1,0,"1,087"
4/1/2024,British Airways,10h 55m,Amsterdam,New York,2:55 PM,7:50 PM,1h 50m,London Heathrow,1,1,0,"1,087"
4/1/2024,"British Airways, Finnair",10h 55m,Amsterdam,New York,2:55 PM,7:50 PM,1h 50m,London Heathrow,1,1,0,"1,087"
4/1/2024,British Airways,11h 05m,Amsterdam,New York,5:40 PM,10:45 PM,2h 00m,London Heathrow,1,1,0,"1,087"
4/1/2024,"British Airways, Finnair",11h 05m,Amsterdam,New York,5:40 PM,10:45 PM,2h 00m,London Heathrow,1,1,0,"1,087"
4/1/2024,British Airways,11h 10m,Amsterdam,New York,3:50 PM,9:00 PM,2h 00m,London Heathrow,1,1,0,"1,087"
4/1/2024,"British Airways, Finnair",11h 10m,Amsterdam,New York,7:20 AM,12:30 PM,2h 05m,London Heathrow,1,1,0,"1,087"
4/1/2024,"British Airways, Finnair",11h 10m,Amsterdam,New York,3:50 PM,9:00 PM,2h 00m,London Heathrow,1,1,0,"1,087"
4/1/2024,British Airways,11h 10m,Amsterdam,New York,7:20 AM,12:30 PM,2h 05m,London Heathrow,1,1,0,"1,087"
4/1/2024,"British Airways, Iberia",10h 55m,Amsterdam,New York,2:55 PM,7:50 PM,1h 50m,London Heathrow,1,1,0,"1,109"
4/1/2024,"British Airways, Finnair",11h 10m,Amsterdam,New York,3:50 PM,9:00 PM,2h 00m,London Heathrow,1,1,0,"1,087"
4/1/2024,"British Airways, Finnair",11h 15m,Amsterdam,New York,7:20 AM,12:35 PM,2h 05m,London Heathrow,1,1,0,"1,087"
4/1/2024,British Airways,11h 15m,Amsterdam,New York,7:20 AM,12:35 PM,2h 05m,London Heathrow,1,1,0,"1,087"
4/1/2024,"British Airways, Iberia",11h 05m,Amsterdam,New York,5:40 PM,10:45 PM,2h 00m,London Heathrow,1,1,0,"1,109"
4/1/2024,"British Airways, Iberia",11h 10m,Amsterdam,New York,7:20 AM,12:30 PM,2h 05m,London Heathrow,1,1,0,"1,109"
4/1/2024,British Airways,12h 20m,Amsterdam,New York,11:40 AM,6:00 PM,3h 00m,Airport change LHR-LGW,1,1,0,"1,047"
4/1/2024,Finnair,12h 55m,Amsterdam,New York,12:00 PM,6:55 PM,1h 40m,Madrid Barajas,1,1,0,"1,090"
4/1/2024,"British Airways, Iberia",11h 15m,Amsterdam,New York,7:20 AM,12:35 PM,2h 05m,London Heathrow,1,1,0,"1,109"
4/1/2024,British Airways,12h 35m,Amsterdam,New York,11:25 AM,6:00 PM,3h 30m,Airport change LCY-LGW,1,1,0,"1,047"
4/1/2024,British Airways,11h 50m,Amsterdam,New York,11:40 AM,5:30 PM,2h 35m,London Heathrow,1,1,0,"1,087"
4/1/2024,"British Airways, Finnair",11h 50m,Amsterdam,New York,11:40 AM,5:30 PM,2h 35m,London Heathrow,1,1,0,"1,087"
4/1/2024,British Airways,12h 00m,Amsterdam,New York,3:50 PM,9:50 PM,3h 00m,London Heathrow,1,1,0,"1,087"
4/1/2024,"British Airways, Finnair",12h 00m,Amsterdam,New York,3:50 PM,9:50 PM,3h 00m,London Heathrow,1,1,0,"1,087"
4/1/2024,British Airways,13h 10m,Amsterdam,New York,10:50 AM,6:00 PM,3h 50m,London Gatwick,1,1,0,"1,047"
4/1/2024,British Airways,12h 05m,Amsterdam,New York,2:55 PM,9:00 PM,2h 55m,London Heathrow,1,1,0,"1,087"
4/1/2024,"British Airways, Finnair",12h 05m,Amsterdam,New York,2:55 PM,9:00 PM,2h 55m,London Heathrow,1,1,0,"1,087"
4/1/2024,British Airways,12h 25m,Amsterdam,New York,11:40 AM,6:05 PM,3h 15m,London Heathrow,1,1,0,"1,087"
4/1/2024,"British Airways, Finnair",12h 25m,Amsterdam,New York,11:40 AM,6:05 PM,3h 15m,London Heathrow,1,1,0,"1,087"
4/1/2024,British Airways,12h 00m,Amsterdam,New York,10:00 AM,4:00 PM,2h 50m,London Heathrow,1,1,0,"1,108"
4/1/2024,British Airways,12h 05m,Amsterdam,New York,11:25 AM,5:30 PM,3h 05m,Airport change LCY-LHR,1,1,0,"1,110"
4/1/2024,British Airways,12h 05m,Amsterdam,New York,9:55 AM,4:00 PM,3h 05m,Airport change LCY-LHR,1,1,0,"1,110"
4/1/2024,"British Airways, Finnair",12h 55m,Amsterdam,New York,3:50 PM,10:45 PM,3h 50m,London Heathrow,1,1,0,"1,087"
4/1/2024,British Airways,12h 15m,Amsterdam,New York,1:35 PM,7:50 PM,3h 20m,Airport change LCY-LHR,1,1,0,"1,110"
4/1/2024,British Airways,12h 55m,Amsterdam,New York,2:55 PM,9:50 PM,3h 55m,London Heathrow,1,1,0,"1,087"
4/1/2024,"British Airways, Finnair",12h 55m,Amsterdam,New York,2:55 PM,9:50 PM,3h 55m,London Heathrow,1,1,0,"1,087"
4/1/2024,"British Airways, Finnair",12h 15m,Amsterdam,New York,1:35 PM,7:50 PM,3h 20m,Airport change LCY-LHR,1,1,0,"1,131"
4/1/2024,British Airways,12h 40m,Amsterdam,New York,10:50 AM,5:30 PM,3h 25m,Airport change LGW-LHR,1,1,0,"1,110"
4/1/2024,British Airways,12h 40m,Amsterdam,New York,7:45 AM,2:25 PM,3h 45m,Airport change LCY-LHR,1,1,0,"1,110"
4/1/2024,British Airways,13h 00m,Amsterdam,New York,2:50 PM,9:50 PM,3h 55m,Airport change LGW-LHR,1,1,0,"1,110"
4/1/2024,British Airways,13h 05m,Amsterdam,New York,7:20 AM,2:25 PM,4h 00m,London Heathrow,1,1,0,"1,087"
4/1/2024,Finnair,13h 10m,Amsterdam,New York,11:55 AM,7:05 PM,2h 05m,Helsinki-Vantaa,1,1,0,"1,150"
4/1/2024,"British Airways, Finnair",10h 25m,Amsterdam,New York,10:00 AM,2:25 PM,1h 20m,London Heathrow,1,1,0,"1,394"
4/1/2024,"easyJet, Norse Atlantic UK",10h 55m,Amsterdam,New York,10:55 AM,3:50 PM,1h 40m,London Gatwick,1,0,0,970
4/1/2024,"British Airways, Finnair",13h 30m,Amsterdam,New York,10:00 AM,5:30 PM,4h 15m,London Heathrow,1,1,0,"1,087"
4/1/2024,JetBlue,13h 39m,Amsterdam,New York,11:20 AM,6:59 PM,3h 39m,Boston Logan Intl,1,1,0,"1,077"
4/1/2024,British Airways,13h 25m,Amsterdam,New York,1:35 PM,9:00 PM,4h 25m,Airport change LCY-LHR,1,1,0,"1,110"
4/1/2024,"British Airways, Finnair",13h 35m,Amsterdam,New York,9:55 AM,5:30 PM,4h 30m,Airport change LCY-LHR,1,1,0,"1,132"
4/1/2024,"Scandinavian Airlines, Icelandair",14h 10m,Amsterdam,New York,11:00 AM,7:10 PM,"0h 45m,1h 50m","Stockholm Arlanda,Reykjavik Keflavik Intl",2,1,1,"1,034"
4/1/2024,British Airways,14h 00m,Amsterdam,New York,10:00 AM,6:00 PM,4h 40m,Airport change LHR-LGW,1,1,0,"1,069"
4/1/2024,British Airways,13h 40m,Amsterdam,New York,11:40 AM,7:20 PM,4h 20m,London Heathrow,1,1,0,"1,108"
4/1/2024,British Airways,13h 50m,Amsterdam,New York,2:55 PM,10:45 PM,4h 45m,London Heathrow,1,1,0,"1,108"
4/1/2024,"British Airways, Finnair",13h 50m,Amsterdam,New York,2:55 PM,10:45 PM,4h 45m,London Heathrow,1,1,0,"1,108"
4/1/2024,British Airways,14h 05m,Amsterdam,New York,9:55 AM,6:00 PM,4h 55m,Airport change LCY-LGW,1,1,0,"1,069"
4/1/2024,"Vueling, LEVEL",14h 20m,Amsterdam,New York,1:20 PM,9:40 PM,2h 55m,Barcelona-El Prat,1,1,0,982
4/1/2024,Vueling,14h 20m,Amsterdam,New York,1:20 PM,9:40 PM,2h 55m,Barcelona-El Prat,1,1,0,982
4/1/2024,"British Airways, Finnair",14h 10m,Amsterdam,New York,9:55 AM,6:05 PM,5h 10m,Airport change LCY-LHR,1,1,0,"1,132"
4/1/2024,"British Airways, Finnair",14h 05m,Amsterdam,New York,10:00 AM,6:05 PM,4h 55m,London Heathrow,1,1,0,"1,108"
4/1/2024,British Airways,14h 10m,Amsterdam,New York,11:40 AM,7:50 PM,5h 00m,London Heathrow,1,1,0,"1,108"
4/1/2024,British Airways,14h 15m,Amsterdam,New York,1:35 PM,9:50 PM,5h 25m,Airport change LCY-LHR,1,1,0,"1,131"
4/1/2024,British Airways,14h 10m,Amsterdam,New York,9:55 AM,6:05 PM,5h 10m,Airport change LCY-LHR,1,1,0,"1,131"
4/1/2024,"Ryanair, Aer Lingus",11h 15m,Amsterdam,New York,2:05 PM,7:20 PM,2h 00m,Dublin,1,0,0,"1,090"
4/1/2024,"Icelandair, JetBlue",14h 12m,Amsterdam,New York,2:10 PM,10:22 PM,"1h 45m,2h 14m","Reykjavik Keflavik Intl,Boston Logan Intl",2,1,1,"1,112"
4/1/2024,"British Airways, Finnair",12h 20m,Amsterdam,New York,11:40 AM,6:00 PM,3h 00m,Airport change LHR-LGW,1,1,0,"1,354"
4/1/2024,British Airways,14h 40m,Amsterdam,New York,7:20 AM,4:00 PM,5h 30m,London Heathrow,1,1,0,"1,108"
4/1/2024,"British Airways, Finnair",12h 00m,Amsterdam,New York,10:00 AM,4:00 PM,2h 50m,London Heathrow,1,1,0,"1,394"
4/1/2024,"easyJet, ITA Airways",13h 25m,Amsterdam,New York,8:50 AM,4:15 PM,2h 20m,Milan Malpensa,1,1,0,875
4/1/2024,"easyJet, Norse Atlantic UK",12h 55m,Amsterdam,New York,8:55 AM,3:50 PM,3h 40m,London Gatwick,1,0,0,927
4/1/2024,"ITA Airways, Norse Atlantic Airways",16h 35m,Amsterdam,New York,11:55 AM,10:30 PM,4h 45m,Rome Fiumicino,1,0,0,734
4/1/2024,"British Airways, Finnair",15h 20m,Amsterdam,New York,11:40 AM,9:00 PM,6h 05m,London Heathrow,1,1,0,"1,108"
4/1/2024,American Airlines,14h 55m,Amsterdam,New York,10:55 AM,7:50 PM,"2h 25m,0h 30m","Philadelphia,Charlotte Douglas",2,1,0,"1,076"
4/1/2024,British Airways,15h 20m,Amsterdam,New York,11:40 AM,9:00 PM,6h 05m,London Heathrow,1,1,0,"1,108"
4/1/2024,ITA Airways,15h 15m,Amsterdam,New York,7:00 AM,4:15 PM,4h 20m,Airport change LIN-MXP,1,1,0,910
4/1/2024,British Airways,15h 20m,Amsterdam,New York,10:00 AM,7:20 PM,6h 00m,London Heathrow,1,1,0,"1,108"
4/1/2024,"British Airways, Finnair",15h 20m,Amsterdam,New York,10:00 AM,7:20 PM,6h 00m,London Heathrow,1,1,0,"1,108"
4/1/2024,TAP AIR PORTUGAL,19h 05m,Amsterdam,New York,7:00 AM,8:05 PM,8h 00m,Lisbon Humberto Delgado,1,1,0,788
4/1/2024,JetBlue,16h 02m,Amsterdam,New York,11:20 AM,9:22 PM,6h 15m,Boston Logan Intl,1,1,0,"1,077"
4/1/2024,"British Airways, Finnair",15h 50m,Amsterdam,New York,10:00 AM,7:50 PM,6h 40m,London Heathrow,1,1,0,"1,108"
4/1/2024,"Aer Lingus, Icelandair",15h 35m,Amsterdam,New York,9:35 AM,7:10 PM,"1h 55m,3h 00m","Dublin,Reykjavik Keflavik Intl",2,1,0,837
4/1/2024,"British Airways, Finnair",13h 05m,Amsterdam,New York,7:20 AM,2:25 PM,4h 00m,London Heathrow,1,1,0,"1,394"
4/1/2024,British Airways,16h 15m,Amsterdam,New York,7:45 AM,6:00 PM,7h 05m,Airport change LCY-LGW,1,1,0,"1,069"
4/1/2024,British Airways,16h 10m,Amsterdam,New York,7:20 AM,5:30 PM,6h 55m,London Heathrow,1,1,0,"1,108"
4/1/2024,British Airways,16h 40m,Amsterdam,New York,7:20 AM,6:00 PM,7h 20m,Airport change LHR-LGW,1,1,0,"1,069"
4/1/2024,American Airlines,16h 17m,Amsterdam,New York,10:55 AM,9:12 PM,"5h 00m,0h 30m","Philadelphia,Washington, D.C. Reagan-National",2,1,0,"1,076"
4/1/2024,JetBlue,17h 02m,Amsterdam,New York,11:20 AM,10:22 PM,7h 19m,Boston Logan Intl,1,1,0,"1,077"
4/1/2024,British Airways,16h 45m,Amsterdam,New York,7:20 AM,6:05 PM,7h 35m,London Heathrow,1,1,0,"1,108"
4/1/2024,"easyJet, Norse Atlantic UK",14h 45m,Amsterdam,New York,7:05 AM,3:50 PM,5h 30m,London Gatwick,1,0,0,950
4/1/2024,"Scandinavian Airlines, Icelandair",14h 30m,Amsterdam,New York,10:40 AM,7:10 PM,"1h 20m,2h 15m","Oslo Gardermoen,Reykjavik Keflavik Intl",2,1,1,"1,308"
4/1/2024,"TAP AIR PORTUGAL, JetBlue",17h 59m,Amsterdam,New York,7:00 AM,6:59 PM,"2h 40m,3h 14m","Lisbon Humberto Delgado,Boston Logan Intl",2,1,0,948
4/1/2024,British Airways,17h 05m,Amsterdam,New York,11:40 AM,10:45 PM,7h 55m,London Heathrow,1,1,0,"1,108"
4/1/2024,Vueling,17h 10m,Amsterdam,New York,10:30 AM,9:40 PM,5h 45m,Barcelona-El Prat,1,1,0,"1,011"
4/1/2024,KLM,8h 05m,Amsterdam,New York,5:05 PM,7:10 PM,,,0,1,0,"2,140"
4/1/2024,"Vueling, LEVEL",17h 10m,Amsterdam,New York,10:30 AM,9:40 PM,5h 45m,Barcelona-El Prat,1,1,0,"1,026"
4/1/2024,KLM,8h 00m,Amsterdam,New York,2:35 PM,4:35 PM,,,0,1,0,"2,140"
4/1/2024,"Aer Lingus, Finnair",15h 45m,Amsterdam,New York,9:35 AM,7:20 PM,"2h 10m,2h 25m","Dublin,London Heathrow",2,0,0,"1,214"
4/1/2024,KLM,8h 00m,Amsterdam,New York,1:25 PM,3:25 PM,,,0,1,0,"2,140"
