Date,Airline,Duration,Source,Destination,Departure Time,Arrival Time,Layover Time,Layover Cities,Total stops,Carry bags Count,Checkin bags Count,Price
2/1/2024,JetBlue,8h 37m,Amsterdam,New York,1:40 PM,4:17 PM,,,0,1,0,585
2/1/2024,"Vueling, LEVEL",30h 15m,Amsterdam,New York,9:00 PM,9:15 PM,18h 45m,Barcelona-El Prat,1,1,0,351
2/1/2024,"Lufthansa, Condor",12h 40m,Amsterdam,New York,7:25 AM,2:05 PM,2h 45m,Frankfurt am Main,1,1,1,470
2/1/2024,Condor,12h 40m,Amsterdam,New York,7:25 AM,2:05 PM,2h 45m,Frankfurt am Main,1,0,0,514
2/1/2024,TAP AIR PORTUGAL,12h 25m,Amsterdam,New York,1:40 PM,8:05 PM,1h 10m,Lisbon Humberto Delgado,1,1,0,583
2/1/2024,"BlaBlaBus, Norse Atlantic Airways",19h 05m,Amsterdam,New York,8:55 AM,10:00 PM,2h 35m,Paris Charles de Gaulle,1,0,0,427
2/1/2024,"easyJet, Norse Atlantic UK",12h 45m,Amsterdam,New York,9:05 AM,3:50 PM,3h 15m,London Gatwick,1,0,0,517
2/1/2024,JetBlue,12h 22m,Amsterdam,New York,11:20 AM,5:42 PM,2h 36m,Boston Logan Intl,1,1,0,593
2/1/2024,Icelandair,11h 00m,Amsterdam,New York,1:00 PM,6:00 PM,1h 25m,Reykjavik Keflavik Intl,1,1,0,723
2/1/2024,Aer Lingus,12h 20m,Amsterdam,New York,1:20 PM,7:40 PM,2h 40m,Dublin,1,1,1,629
2/1/2024,Icelandair,11h 30m,Amsterdam,New York,12:30 PM,6:00 PM,2h 05m,Reykjavik Keflavik Intl,1,1,0,723
2/1/2024,"easyJet, Norse Atlantic UK",14h 45m,Amsterdam,New York,7:05 AM,3:50 PM,5h 15m,London Gatwick,1,0,0,517
2/1/2024,Scandinavian Airlines,12h 35m,Amsterdam,New York,2:55 PM,9:30 PM,2h 25m,Kastrup Copenhagen,1,1,0,698
2/1/2024,"British Airways, Norse Atlantic UK",14h 45m,Amsterdam,New York,7:05 AM,3:50 PM,5h 10m,Airport change LHR-LGW,1,1,0,527
2/1/2024,"PLAY, Icelandair",12h 00m,Amsterdam,New York,12:00 PM,6:00 PM,2h 25m,Reykjavik Keflavik Intl,1,0,0,750
2/1/2024,British Airways,10h 45m,Amsterdam,New York,5:25 PM,10:10 PM,1h 20m,London Heathrow,1,1,0,"1,074"
2/1/2024,"British Airways, Finnair",10h 45m,Amsterdam,New York,5:25 PM,10:10 PM,1h 20m,London Heathrow,1,1,0,"1,087"
2/1/2024,JetBlue,15h 50m,Amsterdam,New York,11:20 AM,9:10 PM,6h 12m,Boston Logan Intl,1,1,0,593
2/1/2024,JetBlue,16h 12m,Amsterdam,New York,11:20 AM,9:32 PM,6h 37m,Boston Logan Intl,1,1,0,593
2/1/2024,TAP AIR PORTUGAL,19h 05m,Amsterdam,New York,7:00 AM,8:05 PM,7h 50m,Lisbon Humberto Delgado,1,1,0,583
2/1/2024,British Airways,11h 15m,Amsterdam,New York,4:00 PM,9:15 PM,1h 45m,London Heathrow,1,1,0,"1,074"
2/1/2024,"British Airways, Finnair",11h 15m,Amsterdam,New York,4:00 PM,9:15 PM,1h 45m,London Heathrow,1,1,0,"1,087"
2/1/2024,British Airways,11h 25m,Amsterdam,New York,2:10 PM,7:35 PM,1h 55m,London Heathrow,1,1,0,"1,074"
2/1/2024,Aer Lingus,16h 05m,Amsterdam,New York,9:35 AM,7:40 PM,6h 25m,Dublin,1,1,1,640
2/1/2024,"British Airways, Finnair",11h 25m,Amsterdam,New York,2:10 PM,7:35 PM,1h 55m,London Heathrow,1,1,0,"1,087"
2/1/2024,British Airways,11h 40m,Amsterdam,New York,11:40 AM,5:20 PM,2h 00m,London Heathrow,1,1,0,"1,074"
2/1/2024,"Air Europa, Iberia",13h 55m,Amsterdam,New York,11:00 AM,6:55 PM,2h 30m,Madrid Barajas,1,1,0,783
2/1/2024,LOT,16h 05m,Amsterdam,New York,10:30 AM,8:35 PM,4h 25m,Warsaw Frederic Chopin,1,1,0,758
2/1/2024,British Airways,11h 55m,Amsterdam,New York,10:15 AM,4:10 PM,2h 20m,London Heathrow,1,1,0,"1,074"
2/1/2024,British Airways,12h 00m,Amsterdam,New York,2:10 PM,8:10 PM,2h 40m,London Heathrow,1,1,0,"1,074"
2/1/2024,"British Airways, Finnair",11h 40m,Amsterdam,New York,11:40 AM,5:20 PM,2h 00m,London Heathrow,1,1,0,"1,108"
2/1/2024,"British Airways, Finnair",11h 55m,Amsterdam,New York,10:15 AM,4:10 PM,2h 20m,London Heathrow,1,1,0,"1,087"
2/1/2024,"British Airways, Finnair",12h 00m,Amsterdam,New York,2:10 PM,8:10 PM,2h 40m,London Heathrow,1,1,0,"1,087"
2/1/2024,British Airways,12h 10m,Amsterdam,New York,4:00 PM,10:10 PM,2h 45m,London Heathrow,1,1,0,"1,074"
2/1/2024,"British Airways, Finnair",12h 10m,Amsterdam,New York,4:00 PM,10:10 PM,2h 45m,London Heathrow,1,1,0,"1,108"
2/1/2024,Iberia,12h 40m,Amsterdam,New York,12:15 PM,6:55 PM,1h 15m,Madrid Barajas,1,1,0,"1,090"
2/1/2024,British Airways,12h 30m,Amsterdam,New York,1:40 PM,8:10 PM,3h 20m,Airport change LCY-LHR,1,1,0,"1,097"
2/1/2024,Finnair,12h 40m,Amsterdam,New York,12:15 PM,6:55 PM,1h 15m,Madrid Barajas,1,1,0,"1,101"
2/1/2024,British Airways,13h 05m,Amsterdam,New York,2:10 PM,9:15 PM,3h 35m,London Heathrow,1,1,0,"1,074"
2/1/2024,British Airways,13h 05m,Amsterdam,New York,10:15 AM,5:20 PM,3h 25m,London Heathrow,1,1,0,"1,074"
2/1/2024,"Iberia, British Airways",12h 40m,Amsterdam,New York,12:15 PM,6:55 PM,1h 15m,Madrid Barajas,1,1,0,"1,112"
2/1/2024,British Airways,13h 20m,Amsterdam,New York,7:05 AM,2:25 PM,3h 55m,London Heathrow,1,1,0,"1,074"
2/1/2024,"British Airways, Finnair",13h 05m,Amsterdam,New York,2:10 PM,9:15 PM,3h 35m,London Heathrow,1,1,0,"1,108"
2/1/2024,British Airways,13h 10m,Amsterdam,New York,10:10 AM,5:20 PM,3h 40m,Airport change LCY-LHR,1,1,0,"1,097"
2/1/2024,British Airways,13h 20m,Amsterdam,New York,2:50 PM,10:10 PM,3h 55m,Airport change LGW-LHR,1,1,0,"1,097"
2/1/2024,"Scandinavian Airlines, Icelandair",13h 20m,Amsterdam,New York,10:40 AM,6:00 PM,"0h 30m,1h 45m","Oslo Gardermoen,Reykjavik Keflavik Intl",2,1,1,"1,049"
2/1/2024,"British Airways, Finnair",13h 05m,Amsterdam,New York,11:40 AM,6:45 PM,3h 35m,London Heathrow,1,1,0,"1,108"
2/1/2024,"British Airways, Finnair",13h 05m,Amsterdam,New York,10:15 AM,5:20 PM,3h 25m,London Heathrow,1,1,0,"1,108"
2/1/2024,British Airways,13h 20m,Amsterdam,New York,11:25 AM,6:45 PM,4h 05m,Airport change LCY-LHR,1,1,0,"1,097"
2/1/2024,British Airways,13h 20m,Amsterdam,New York,7:05 AM,2:25 PM,4h 05m,Airport change LCY-LHR,1,1,0,"1,097"
2/1/2024,"Iberia, Finnair",12h 40m,Amsterdam,New York,12:15 PM,6:55 PM,1h 15m,Madrid Barajas,1,1,0,"1,112"
2/1/2024,"British Airways, Finnair",13h 20m,Amsterdam,New York,7:05 AM,2:25 PM,3h 55m,London Heathrow,1,1,0,"1,108"
2/1/2024,Azores Airlines,18h 45m,Amsterdam,New York,7:00 AM,7:45 PM,"5h 05m,1h 35m","Lisbon Humberto Delgado,Ponta Delgada Nordela",2,1,1,697
2/1/2024,British Airways,13h 35m,Amsterdam,New York,1:40 PM,9:15 PM,4h 15m,Airport change LCY-LHR,1,1,0,"1,110"
2/1/2024,British Airways,14h 00m,Amsterdam,New York,2:10 PM,10:10 PM,4h 35m,London Heathrow,1,1,0,"1,087"
2/1/2024,"Scandinavian Airlines, Icelandair",13h 35m,Amsterdam,New York,10:25 AM,6:00 PM,"1h 15m,1h 20m","Kastrup Copenhagen,Reykjavik Keflavik Intl",2,1,1,"1,068"
