Date,Airline,Duration,Source,Destination,Departure Time,Arrival Time,Layover Time,Layover Cities,Total stops,Carry bags Count,Checkin bags Count,Price
1/1/2024,British Airways,,Amsterdam,New York,5:20 PM,10:10 PM,1h 25m,London Heathrow,1,1,0,"1,109"
1/1/2024,"Vueling, Azores Airlines",,Amsterdam,New York,7:00 AM,7:45 PM,"11h 10m,8h 30m,9h 40m","Barcelona-El Prat,Lisbon Humberto Delgado,Ponta Delgada Nordela",3,0,0,688
1/1/2024,British Airways,,Amsterdam,New York,4:10 PM,9:15 PM,1h 35m,London Heathrow,1,1,0,"1,102"
1/1/2024,KLM,,Amsterdam,New York,5:10 PM,7:25 PM,,,0,1,0,"2,140"
1/1/2024,KLM,,Amsterdam,New York,1:35 PM,3:50 PM,,,0,1,0,"2,140"
1/1/2024,"British Airways, Iberia",,Amsterdam,New York,4:10 PM,9:15 PM,1h 35m,London Heathrow,1,1,0,"1,145"
1/1/2024,Aer Lingus,,Amsterdam,New York,1:20 PM,7:25 PM,2h 40m,Dublin,1,1,1,"1,066"
1/1/2024,"Ryanair, Aer Lingus",,Amsterdam,New York,2:05 PM,7:25 PM,1h 50m,Dublin,1,0,0,"1,052"
1/1/2024,British Airways,,Amsterdam,New York,11:40 AM,5:20 PM,2h 00m,London Heathrow,1,1,0,"1,102"
1/1/2024,British Airways,,Amsterdam,New York,11:40 AM,6:15 PM,3h 00m,Airport change LHR-LGW,1,1,0,"1,047"
1/1/2024,British Airways,,Amsterdam,New York,5:20 PM,11:00 PM,2h 15m,London Heathrow,1,1,0,"1,115"
1/1/2024,British Airways,,Amsterdam,New York,4:10 PM,10:10 PM,2h 35m,London Heathrow,1,1,0,"1,102"
1/1/2024,Finnair,,Amsterdam,New York,12:15 PM,6:55 PM,1h 15m,Madrid Barajas,1,1,0,"1,075"
1/1/2024,British Airways,,Amsterdam,New York,10:05 AM,4:05 PM,2h 25m,London Heathrow,1,1,0,"1,109"
1/1/2024,"British Airways, Finnair",,Amsterdam,New York,5:20 PM,11:00 PM,2h 15m,London Heathrow,1,1,0,"1,145"
1/1/2024,"British Airways, Iberia",,Amsterdam,New York,5:20 PM,11:00 PM,2h 15m,London Heathrow,1,1,0,"1,145"
1/1/2024,Lufthansa,,Amsterdam,New York,2:40 PM,8:25 PM,1h 30m,Frankfurt am Main,1,1,0,"1,202"
1/1/2024,Finnair,,Amsterdam,New York,12:15 PM,6:55 PM,1h 15m,Madrid Barajas,1,1,0,"1,075"
1/1/2024,British Airways,,Amsterdam,New York,7:00 AM,1:45 PM,3h 15m,London Heathrow,1,1,0,"1,062"
1/1/2024,TAP AIR PORTUGAL,,Amsterdam,New York,1:40 PM,8:05 PM,1h 10m,Lisbon Humberto Delgado,1,1,1,"1,133"
1/1/2024,British Airways,,Amsterdam,New York,10:05 AM,6:15 PM,4h 35m,Airport change LHR-LGW,1,1,0,880
1/1/2024,British Airways,,Amsterdam,New York,10:05 AM,5:20 PM,3h 35m,London Heathrow,1,1,0,"1,062"
1/1/2024,British Airways,,Amsterdam,New York,2:50 PM,10:10 PM,3h 55m,Airport change LGW-LHR,1,1,0,"1,084"
1/1/2024,British Airways,,Amsterdam,New York,1:50 PM,9:15 PM,4h 05m,Airport change LCY-LHR,1,1,0,"1,084"
1/1/2024,British Airways,,Amsterdam,New York,4:10 PM,11:00 PM,3h 25m,London Heathrow,1,1,0,"1,145"
1/1/2024,Iberia,,Amsterdam,New York,12:15 PM,6:55 PM,1h 15m,Madrid Barajas,1,1,0,"1,212"
1/1/2024,British Airways,,Amsterdam,New York,7:00 AM,2:25 PM,4h 00m,London Heathrow,1,1,0,"1,062"
1/1/2024,British Airways,,Amsterdam,New York,11:40 AM,6:30 PM,3h 35m,London Heathrow,1,1,0,"1,209"
1/1/2024,"Iberia, Finnair",,Amsterdam,New York,12:15 PM,6:55 PM,1h 15m,Madrid Barajas,1,1,0,"1,266"
1/1/2024,"Ryanair, Aer Lingus",,Amsterdam,New York,2:05 PM,7:25 PM,1h 50m,Dublin,1,0,0,"1,052"
1/1/2024,KLM,,Amsterdam,New York,1:35 PM,3:50 PM,,,0,1,0,"2,140"
1/1/2024,"British Airways, Finnair",,Amsterdam,New York,4:10 PM,11:00 PM,3h 25m,London Heathrow,1,1,0,"1,145"
1/1/2024,British Airways,,Amsterdam,New York,4:10 PM,11:00 PM,3h 25m,London Heathrow,1,1,0,"1,145"
1/1/2024,"British Airways, Iberia",,Amsterdam,New York,4:10 PM,11:00 PM,3h 25m,London Heathrow,1,1,0,"1,145"
1/1/2024,British Airways,,Amsterdam,New York,11:40 AM,7:35 PM,4h 20m,London Heathrow,1,1,0,"1,062"
1/1/2024,Iberia,,Amsterdam,New York,12:15 PM,6:55 PM,1h 15m,Madrid Barajas,1,1,0,"1,212"
1/1/2024,British Airways,,Amsterdam,New York,10:55 AM,6:30 PM,4h 20m,Airport change LGW-LHR,1,1,0,"1,084"
1/1/2024,"British Airways, Iberia",,Amsterdam,New York,10:55 AM,6:15 PM,3h 45m,London Gatwick,1,1,0,"1,104"
1/1/2024,"British Airways, Finnair",,Amsterdam,New York,10:55 AM,6:15 PM,4h 20m,Airport change LGW-LHR,1,1,0,"1,132"
1/1/2024,British Airways,,Amsterdam,New York,11:40 AM,6:30 PM,3h 35m,London Heathrow,1,1,0,"1,209"
1/1/2024,American Airlines,,Amsterdam,New York,11:40 AM,7:35 PM,4h 20m,London Heathrow,1,1,0,"1,087"
1/1/2024,"Iberia, Finnair",,Amsterdam,New York,12:15 PM,6:55 PM,1h 15m,Madrid Barajas,1,1,0,"1,266"
1/1/2024,British Airways,,Amsterdam,New York,2:50 PM,11:00 PM,4h 45m,Airport change LGW-LHR,1,1,0,"1,084"
1/1/2024,British Airways,,Amsterdam,New York,1:50 PM,10:10 PM,5h 05m,Airport change LCY-LHR,1,1,0,"1,084"
1/1/2024,British Airways,,Amsterdam,New York,10:55 AM,7:35 PM,5h 05m,Airport change LGW-LHR,1,1,0,"1,084"
1/1/2024,"British Airways, Finnair",,Amsterdam,New York,10:05 AM,6:15 PM,5h 10m,London Heathrow,1,1,0,"1,145"
1/1/2024,"British Airways, Finnair",,Amsterdam,New York,2:50 PM,11:00 PM,4h 45m,Airport change LGW-LHR,1,1,0,"1,168"
1/1/2024,KLM,,Amsterdam,New York,1:35 PM,3:50 PM,,,0,1,0,"2,140"
1/1/2024,"British Airways, Finnair",,Amsterdam,New York,11:40 AM,8:10 PM,5h 05m,London Heathrow,1,1,0,"1,115"
1/1/2024,British Airways,,Amsterdam,New York,10:55 AM,9:15 PM,6h 45m,Airport change LGW-LHR,1,1,0,893
