Date,Airline,Duration,Source,Destination,Departure Time,Arrival Time,Layover Time,Layover Cities,Total stops,Carry bags Count,Checkin bags Count,Price
2024-03-01,JetBlue,8h 37m,Amsterdam,New York,1:40 pm,4:17 pm,,,0,1,0,585
2024-03-01,Vueling,29h 35m,Amsterdam,New York,9:40 pm,9:15 pm,18h 05m,Barcelona-El Prat,1,0,0,349
2024-03-01,"Vueling, LEVEL",13h 35m,Amsterdam,New York,1:40 pm,9:15 pm,2h 05m,Barcelona-El Prat,1,1,0,374
2024-03-01,Vueling,13h 35m,Amsterdam,New York,1:40 pm,9:15 pm,2h 05m,Barcelona-El Prat,1,1,0,384
2024-03-01,"Lufthansa, Condor",12h 40m,Amsterdam,New York,7:25 am,2:05 pm,2h 45m,Frankfurt am Main,1,1,1,470
2024-03-01,"Vueling, LEVEL",16h 50m,Amsterdam,New York,10:25 am,9:15 pm,5h 20m,Barcelona-El Prat,1,1,0,389
2024-03-01,Vueling,16h 50m,Amsterdam,New York,10:25 am,9:15 pm,5h 20m,Barcelona-El Prat,1,1,0,398
2024-03-01,"Vueling, Iberia",13h 35m,Amsterdam,New York,1:40 pm,9:15 pm,2h 05m,Barcelona-El Prat,1,0,0,505
2024-03-01,Aer Lingus,12h 05m,Amsterdam,New York,1:20 pm,7:25 pm,2h 40m,Dublin,1,1,1,629
2024-03-01,"Vueling, LEVEL",20h 15m,Amsterdam,New York,7:00 am,9:15 pm,8h 45m,Barcelona-El Prat,1,1,0,364
2024-03-01,Vueling,20h 15m,Amsterdam,New York,7:00 am,9:15 pm,8h 45m,Barcelona-El Prat,1,1,0,366
2024-03-01,Icelandair,11h 00m,Amsterdam,New York,1:00 pm,6:00 pm,1h 25m,Reykjavik Keflavik Intl,1,1,0,762
2024-03-01,JetBlue,13h 39m,Amsterdam,New York,11:20 am,6:59 pm,3h 51m,Boston Logan Intl,1,1,0,593
2024-03-01,Icelandair,11h 30m,Amsterdam,New York,12:30 pm,6:00 pm,2h 05m,Reykjavik Keflavik Intl,1,1,0,762
2024-03-01,Iberia,13h 35m,Amsterdam,New York,1:40 pm,9:15 pm,2h 05m,Barcelona-El Prat,1,1,0,733
2024-03-01,"Vueling, Iberia",16h 50m,Amsterdam,New York,10:25 am,9:15 pm,5h 20m,Barcelona-El Prat,1,0,0,522
2024-03-01,"British Airways, Iberia",11h 10m,Amsterdam,New York,11:00 am,4:10 pm,1h 35m,London Heathrow,1,1,0,771
2024-03-01,"Transavia, Vueling",14h 55m,Amsterdam,New York,12:20 pm,9:15 pm,3h 25m,Barcelona-El Prat,1,0,0,551
2024-03-01,Iberia,13h 35m,Amsterdam,New York,1:40 pm,9:15 pm,2h 05m,Barcelona-El Prat,1,1,0,733
2024-03-01,JetBlue,16h 02m,Amsterdam,New York,11:20 am,9:22 pm,6h 27m,Boston Logan Intl,1,1,0,593
2024-03-01,"British Airways, Finnair",10h 40m,Amsterdam,New York,5:30 pm,10:10 pm,1h 15m,London Heathrow,1,1,0,"1,087"
2024-03-01,Aer Lingus,15h 50m,Amsterdam,New York,9:35 am,7:25 pm,6h 25m,Dublin,1,1,1,640
2024-03-01,British Airways,10h 40m,Amsterdam,New York,5:30 pm,10:10 pm,1h 15m,London Heathrow,1,1,0,"1,087"
2024-03-01,"PLAY, Icelandair",12h 00m,Amsterdam,New York,12:00 pm,6:00 pm,2h 25m,Reykjavik Keflavik Intl,1,0,0,836
2024-03-01,JetBlue,17h 04m,Amsterdam,New York,11:20 am,10:24 pm,7h 31m,Boston Logan Intl,1,1,0,593
2024-03-01,TAP AIR PORTUGAL,19h 05m,Amsterdam,New York,7:00 am,8:05 pm,7h 45m,Lisbon Humberto Delgado,1,1,0,583
2024-03-01,British Airways,11h 05m,Amsterdam,New York,4:10 pm,9:15 pm,1h 35m,London Heathrow,1,1,0,"1,087"
2024-03-01,"British Airways, Finnair",11h 05m,Amsterdam,New York,4:10 pm,9:15 pm,1h 35m,London Heathrow,1,1,0,"1,087"
2024-03-01,"British Airways, Finnair",11h 10m,Amsterdam,New York,11:00 am,4:10 pm,1h 35m,London Heathrow,1,1,0,"1,087"
2024-03-01,LOT,15h 55m,Amsterdam,New York,7:00 am,4:55 pm,4h 10m,Warsaw Frederic Chopin,1,1,0,729
2024-03-01,British Airways,11h 10m,Amsterdam,New York,11:00 am,4:10 pm,1h 35m,London Heathrow,1,1,0,"1,087"
2024-03-01,British Airways,11h 25m,Amsterdam,New York,2:10 pm,7:35 pm,1h 55m,London Heathrow,1,1,0,"1,087"
2024-03-01,"British Airways, Finnair",11h 25m,Amsterdam,New York,2:10 pm,7:35 pm,1h 55m,London Heathrow,1,1,0,"1,087"
2024-03-01,"British Airways, Finnair",11h 30m,Amsterdam,New York,5:30 pm,11:00 pm,2h 05m,London Heathrow,1,1,0,"1,087"
2024-03-01,British Airways,11h 30m,Amsterdam,New York,5:30 pm,11:00 pm,2h 05m,London Heathrow,1,1,0,"1,087"
2024-03-01,LOT,16h 05m,Amsterdam,New York,10:30 am,8:35 pm,4h 25m,Warsaw Frederic Chopin,1,1,0,755
2024-03-01,British Airways,11h 40m,Amsterdam,New York,7:05 am,12:45 pm,2h 10m,London Heathrow,1,1,0,"1,087"
2024-03-01,"British Airways, Finnair",11h 40m,Amsterdam,New York,7:05 am,12:45 pm,2h 10m,London Heathrow,1,1,0,"1,087"
2024-03-01,British Airways,11h 55m,Amsterdam,New York,10:15 am,4:10 pm,2h 20m,London Heathrow,1,1,0,"1,087"
2024-03-01,British Airways,12h 00m,Amsterdam,New York,4:10 pm,10:10 pm,2h 35m,London Heathrow,1,1,0,"1,087"
2024-03-01,"British Airways, Finnair",12h 00m,Amsterdam,New York,4:10 pm,10:10 pm,2h 35m,London Heathrow,1,1,0,"1,087"
2024-03-01,"British Airways, Finnair",11h 55m,Amsterdam,New York,10:15 am,4:10 pm,2h 20m,London Heathrow,1,1,0,"1,087"
2024-03-01,British Airways,12h 05m,Amsterdam,New York,2:10 pm,8:15 pm,2h 40m,London Heathrow,1,1,0,"1,087"
2024-03-01,"British Airways, Finnair",12h 05m,Amsterdam,New York,2:10 pm,8:15 pm,2h 40m,London Heathrow,1,1,0,"1,087"
2024-03-01,"Vueling, Iberia",16h 50m,Amsterdam,New York,10:25 am,9:15 pm,5h 20m,Barcelona-El Prat,1,0,0,522
2024-03-01,Iberia,16h 50m,Amsterdam,New York,10:25 am,9:15 pm,5h 20m,Barcelona-El Prat,1,1,0,759
2024-03-01,Finnair,12h 40m,Amsterdam,New York,12:15 pm,6:55 pm,1h 15m,Madrid Barajas,1,1,0,"1,090"
2024-03-01,"British Airways, Iberia",11h 55m,Amsterdam,New York,10:15 am,4:10 pm,2h 20m,London Heathrow,1,1,0,"1,109"
2024-03-01,"British Airways, Finnair",12h 20m,Amsterdam,New York,11:00 am,5:20 pm,2h 40m,London Heathrow,1,1,0,"1,087"
2024-03-01,British Airways,13h 05m,Amsterdam,New York,2:10 pm,9:15 pm,3h 35m,London Heathrow,1,1,0,"1,087"
2024-03-01,British Airways,13h 05m,Amsterdam,New York,10:15 am,5:20 pm,3h 25m,London Heathrow,1,1,0,"1,087"
2024-03-01,British Airways,12h 50m,Amsterdam,New York,4:10 pm,11:00 pm,3h 25m,London Heathrow,1,1,0,"1,087"
2024-03-01,"British Airways, Finnair",12h 50m,Amsterdam,New York,4:10 pm,11:00 pm,3h 25m,London Heathrow,1,1,0,"1,087"
2024-03-01,"British Airways, Iberia",12h 20m,Amsterdam,New York,11:00 am,5:20 pm,2h 40m,London Heathrow,1,1,0,"1,109"
2024-03-01,British Airways,13h 15m,Amsterdam,New York,11:00 am,6:15 pm,3h 40m,Airport change LHR-LGW,1,1,0,"1,047"
2024-03-01,"British Airways, Finnair",13h 15m,Amsterdam,New York,11:00 am,6:15 pm,3h 40m,Airport change LHR-LGW,1,1,0,"1,047"
2024-03-01,American Airlines,13h 15m,Amsterdam,New York,11:00 am,6:15 pm,3h 40m,Airport change LHR-LGW,1,1,0,"1,047"
2024-03-01,Iberia,12h 40m,Amsterdam,New York,12:15 pm,6:55 pm,1h 15m,Madrid Barajas,1,1,0,"1,090"
2024-03-01,British Airways,12h 40m,Amsterdam,New York,7:05 am,1:45 pm,3h 10m,London Heathrow,1,1,0,"1,087"
2024-03-01,"British Airways, Finnair",12h 40m,Amsterdam,New York,7:05 am,1:45 pm,3h 10m,London Heathrow,1,1,0,"1,087"
2024-03-01,"Scandinavian Airlines, Icelandair",13h 20m,Amsterdam,New York,10:40 am,6:00 pm,"0h 30m,1h 45m","Oslo Gardermoen,Reykjavik Keflavik Intl",2,1,1,"1,049"
2024-03-01,British Airways,12h 40m,Amsterdam,New York,4:20 pm,11:00 pm,3h 25m,Airport change LCY-LHR,1,1,0,"1,110"
