Date,Airline,Duration,Source,Destination,Departure Time,Arrival Time,Layover Time,Layover Cities,Total stops,Carry bags Count,Checkin bags Count,Price
2024-04-01,China Southern,23h 45m,Changde,Istanbul,,,"2h 30m,5h 45m","Shenzhen,Beijing Daxing Intl",0,1,1,"1,368"
2024-04-01,China Southern,23h 45m,Changde,Istanbul,,,"6h 30m,1h 45m","Shenzhen,Beijing Daxing Intl",0,1,1,"1,368"
2024-04-01,China Southern,23h 45m,Changde,Istanbul,,,"4h 30m,3h 45m","Shenzhen,Beijing Daxing Intl",0,1,1,"1,368"
2024-04-01,China Southern,23h 45m,Changde,Istanbul,,,"3h 30m,4h 45m","Shenzhen,Beijing Daxing Intl",0,1,1,"1,368"
2024-04-01,China Southern,23h 45m,Changde,Istanbul,,,"5h 30m,2h 45m","Shenzhen,Beijing Daxing Intl",0,1,1,"1,368"
2024-04-01,China Southern,23h 45m,Changde,Istanbul,,,"1h 30m,6h 45m","Shenzhen,Beijing Daxing Intl",0,1,1,"1,368"
2024-04-01,China Southern,24h 30m,Changde,Istanbul,,,"3h 30m,5h 15m","Zhuhai,Beijing Daxing Intl",0,1,2,"1,411"
2024-04-01,"China Southern, LOT",30h 50m,Changde,Istanbul,,,"8h 55m,5h 05m","Beijing Daxing Intl,Warsaw Frederic Chopin",0,1,2,"1,912"
2024-04-01,"China Southern, Air Astana",28h 10m,Changde,Istanbul,,,"5h 50m,8h 30m","Airport change PKX-PEK,Almaty",0,1,1,"2,427"
2024-04-01,"China Southern, LOT",29h 55m,Changde,Istanbul,,,"8h 55m,4h 15m","Beijing Daxing Intl,Warsaw Frederic Chopin",0,1,0,"2,378"
2024-04-01,"China Southern, Air China",24h 30m,Changde,Istanbul,,,"1h 05m,7h 50m","Zhuhai,Airport change PEK-PKX",0,1,2,"3,333"
2024-04-01,"China Southern, Air China",23h 45m,Changde,Istanbul,,,"2h 00m,6h 15m","Shenzhen,Airport change PEK-PKX",0,1,1,"4,617"
2024-04-01,"China Southern, Air China",23h 45m,Changde,Istanbul,,,"3h 00m,5h 20m","Shenzhen,Airport change PEK-PKX",0,1,1,"4,617"
2024-04-01,"China Southern, Shenzhen Airlines",23h 45m,Changde,Istanbul,,,"3h 40m,4h 45m","Shenzhen,Airport change PEK-PKX",0,1,1,"4,617"
2024-04-01,"China Southern, Emirates",45h 15m,Changde,Istanbul,,,"19h 20m,11h 40m","Guangzhou Baiyun,Dubai Intl",0,1,1,"2,405"
2024-04-02,China Southern,,Changde,Istanbul,10:10 PM,6:10 AM,"9h 15m,12h 15m","Guangzhou Baiyun,Beijing Daxing Intl",2,1,1,"1,376"
2024-04-02,China Southern,,Changde,Istanbul,10:10 PM,6:10 AM,"14h 15m,7h 25m","Guangzhou Baiyun,Beijing Daxing Intl",2,1,1,"1,376"
2024-04-02,China Southern,,Changde,Istanbul,10:10 PM,6:10 AM,"19h 15m,2h 20m","Guangzhou Baiyun,Beijing Daxing Intl",2,1,1,"1,376"
