Date,Airline,Duration,Source,Destination,Departure Time,Arrival Time,Layover Time,Layover Cities,Total stops,Carry bags Count,Checkin bags Count,Price
2024-04-01,Qatar Airways,16h 05m,Doha,Dallas,1:30 AM,9:35 AM,,,0,1,2,"1,399"
2024-04-01,Finnair,38h 55m,Doha,Dallas,8:10 AM,3:05 PM,21h 10m,Helsinki-Vantaa,1,1,1,"1,122"
2024-04-01,American Airlines,16h 05m,Doha,Dallas,1:30 AM,9:35 AM,,,0,1,1,"1,403"
2024-04-01,Turkish Airlines,20h 55m,Doha,Dallas,5:55 AM,6:50 PM,3h 45m,Istanbul,1,1,2,"1,241"
2024-04-01,Qatar Airways,16h 25m,Doha,Dallas,7:50 AM,4:15 PM,,,0,1,2,"1,399"
2024-04-01,Turkish Airlines,25h 05m,Doha,Dallas,1:45 AM,6:50 PM,7h 55m,Istanbul,1,1,2,"1,243"
2024-04-01,American Airlines,21h 50m,Doha,Dallas,7:55 AM,9:45 PM,3h 24m,Boston Logan Intl,1,1,1,"1,410"
2024-04-01,Qatar Airways,21h 35m,Doha,Dallas,8:10 AM,9:45 PM,2h 24m,San Francisco,1,1,2,"1,436"
2024-04-01,British Airways,19h 31m,Doha,Dallas,1:45 AM,1:16 PM,1h 30m,Philadelphia,1,1,0,"1,517"
2024-04-01,"flydubai, Emirates",20h 50m,Doha,Dallas,9:00 PM,9:50 AM,3h 35m,Dubai Intl,1,1,2,"1,542"
2024-04-01,"Qatar Airways, Turkish Airlines",19h 35m,Doha,Dallas,7:15 AM,6:50 PM,2h 25m,Istanbul,1,1,0,"1,537"
2024-04-01,"Iberia, British Airways",20h 20m,Doha,Dallas,7:50 AM,8:10 PM,1h 35m,Madrid Barajas,1,1,1,"1,680"
2024-04-01,Qatar Airways,19h 45m,Doha,Dallas,8:10 AM,7:55 PM,2h 24m,Houston George Bush Intcntl,1,1,2,"1,599"
2024-04-01,Qatar Airways,20h 00m,Doha,Dallas,7:55 AM,7:55 PM,2h 23m,Atlanta Hartsfield-Jackson,1,1,2,"1,615"
2024-04-01,British Airways,19h 40m,Doha,Dallas,1:05 AM,12:45 PM,2h 15m,London Heathrow,1,1,0,"1,772"
2024-04-01,Qatar Airways,23h 58m,Doha,Dallas,7:55 AM,11:53 PM,5h 32m,Seattle/Tacoma Intl,1,1,2,"1,436"
2024-04-01,British Airways,22h 10m,Doha,Dallas,1:45 AM,3:55 PM,4h 09m,Philadelphia,1,1,0,"1,517"
2024-04-01,British Airways,19h 55m,Doha,Dallas,8:50 AM,8:45 PM,2h 15m,London Heathrow,1,1,0,"1,772"
2024-04-01,Royal Jordanian,23h 10m,Doha,Dallas,6:35 AM,9:45 PM,"2h 05m,3h 05m","Amman Queen Alia Intl,Chicago O'Hare Intl",2,1,0,"1,463"
2024-04-01,Qatar Airways,21h 50m,Doha,Dallas,7:55 AM,9:45 PM,3h 12m,Seattle/Tacoma Intl,1,1,2,"1,618"
2024-04-01,British Airways,20h 50m,Doha,Dallas,7:55 AM,8:45 PM,3h 10m,London Heathrow,1,1,0,"1,772"
2024-04-01,British Airways,20h 50m,Doha,Dallas,1:45 AM,2:35 PM,3h 15m,London Heathrow,1,1,0,"1,772"
2024-04-01,Qatar Airways,19h 31m,Doha,Dallas,1:45 AM,1:16 PM,1h 30m,Philadelphia,1,1,0,"1,815"
2024-04-01,Qatar Airways,21h 40m,Doha,Dallas,8:05 AM,9:45 PM,3h 19m,New York John F Kennedy Intl,1,1,2,"1,661"
2024-04-01,British Airways,21h 15m,Doha,Dallas,7:30 AM,8:45 PM,3h 25m,London Heathrow,1,1,0,"1,772"
2024-04-01,British Airways,21h 00m,Doha,Dallas,1:35 AM,2:35 PM,3h 45m,Airport change LGW-LHR,1,1,0,"1,795"
2024-04-01,Royal Jordanian,24h 14m,Doha,Dallas,6:35 AM,10:49 PM,"2h 05m,4h 10m","Amman Queen Alia Intl,Chicago O'Hare Intl",2,1,0,"1,463"
2024-04-01,"flydubai, Emirates",24h 50m,Doha,Dallas,5:00 PM,9:50 AM,7h 35m,Dubai Intl,1,1,2,"1,542"
2024-04-01,British Airways,21h 30m,Doha,Dallas,1:05 AM,2:35 PM,4h 05m,London Heathrow,1,1,0,"1,772"
2024-04-01,Qatar Airways,21h 35m,Doha,Dallas,8:10 AM,9:45 PM,4h 14m,Houston George Bush Intcntl,1,1,2,"1,599"
2024-04-01,Qatar Airways,21h 27m,Doha,Dallas,7:55 AM,9:22 PM,2h 30m,Los Angeles,1,1,2,"1,717"
2024-04-01,Qatar Airways,21h 50m,Doha,Dallas,7:55 AM,9:45 PM,4h 13m,Atlanta Hartsfield-Jackson,1,1,2,"1,615"
2024-04-01,Qatar Airways,21h 55m,Doha,Dallas,7:50 AM,9:45 PM,4h 15m,Chicago O'Hare Intl,1,1,2,"1,634"
2024-04-01,British Airways,24h 25m,Doha,Dallas,1:45 AM,6:10 PM,6h 30m,Philadelphia,1,1,0,"1,517"
2024-04-01,British Airways,22h 30m,Doha,Dallas,1:45 AM,4:15 PM,4h 45m,London Heathrow,1,1,0,"1,772"
2024-04-01,Qatar Airways,19h 48m,Doha,Dallas,7:50 AM,7:38 PM,2h 05m,Chicago O'Hare Intl,1,1,2,"1,892"
2024-04-01,"Kuwait Airways, Emirates",23h 00m,Doha,Dallas,6:50 PM,9:50 AM,"2h 20m,1h 30m","Kuwait City,Dubai Intl",2,1,0,"1,428"
2024-04-01,Qatar Airways,21h 50m,Doha,Dallas,7:55 AM,9:45 PM,3h 24m,Boston Logan Intl,1,1,2,"1,767"
2024-04-01,Qatar Airways,21h 40m,Doha,Dallas,8:05 AM,9:45 PM,2h 55m,Miami,1,1,2,"1,778"
2024-04-01,British Airways,22h 40m,Doha,Dallas,1:35 AM,4:15 PM,5h 15m,Airport change LGW-LHR,1,1,0,"1,795"
