Date,Airline,Duration,Source,Destination,Departure Time,Arrival Time,Layover Time,Layover Cities,Total stops,Carry bags Count,Checkin bags Count,Price
2024-02-01,Qatar Airways,16h 10m,Doha,Dallas,8:05 AM,3:15 PM,,,0,1,2,"1,399"
2024-02-01,Turkish Airlines,21h 00m,Doha,Dallas,6:50 AM,6:50 PM,3h 05m,Istanbul,1,1,0,"1,242"
2024-02-01,Qatar Airways,17h 15m,Doha,Dallas,1:25 AM,9:40 AM,,,0,1,2,"1,399"
2024-02-01,American Airlines,17h 15m,Doha,Dallas,1:25 AM,9:40 AM,,,0,1,1,"1,403"
2024-02-01,Turkish Airlines,25h 45m,Doha,Dallas,2:05 AM,6:50 PM,7h 50m,Istanbul,1,1,0,"1,242"
2024-02-01,"Pegasus Airlines, Turkish Airlines",25h 45m,Doha,Dallas,2:05 AM,6:50 PM,7h 55m,Airport change SAW-IST,1,1,0,"1,268"
2024-02-01,Qatar Airways,20h 33m,Doha,Dallas,8:05 AM,7:38 PM,1h 56m,Seattle/Tacoma Intl,1,1,2,"1,436"
2024-02-01,"flydubai, Emirates",20h 50m,Doha,Dallas,9:05 PM,8:55 AM,3h 20m,Dubai Intl,1,1,2,"1,542"
2024-02-01,Qatar Airways,22h 29m,Doha,Dallas,8:05 AM,9:34 PM,3h 51m,Seattle/Tacoma Intl,1,1,2,"1,436"
2024-02-01,American Airlines,24h 43m,Doha,Dallas,8:15 AM,11:58 PM,4h 48m,Miami,1,1,1,"1,410"
2024-02-01,British Airways,21h 45m,Doha,Dallas,8:45 AM,9:30 PM,3h 19m,Philadelphia,1,1,0,"1,517"
2024-02-01,"Iberia, British Airways",21h 20m,Doha,Dallas,8:15 AM,8:35 PM,2h 00m,Madrid Barajas,1,1,1,"1,680"
2024-02-01,"flydubai, Emirates",22h 55m,Doha,Dallas,7:00 PM,8:55 AM,5h 25m,Dubai Intl,1,1,2,"1,542"
2024-02-01,Qatar Airways,23h 48m,Doha,Dallas,8:05 AM,10:53 PM,4h 37m,San Francisco,1,1,2,"1,436"
2024-02-01,British Airways,19h 45m,Doha,Dallas,7:40 AM,6:25 PM,1h 35m,London Heathrow,1,1,0,"1,772"
2024-02-01,British Airways,20h 05m,Doha,Dallas,1:50 AM,12:55 PM,1h 55m,London Heathrow,1,1,0,"1,772"
2024-02-01,British Airways,20h 10m,Doha,Dallas,7:15 AM,6:25 PM,2h 00m,London Heathrow,1,1,0,"1,772"
2024-02-01,"Royal Jordanian, Turkish Airlines",21h 35m,Doha,Dallas,6:15 AM,6:50 PM,"1h 00m,1h 35m","Amman Queen Alia Intl,Istanbul",2,1,0,"1,357"
2024-02-01,"Etihad Airways, American Airlines",24h 29m,Doha,Dallas,10:50 PM,2:19 PM,"2h 15m,3h 30m","Abu Dhabi Intl,Chicago O'Hare Intl",2,1,2,"1,411"
2024-02-01,Qatar Airways,24h 48m,Doha,Dallas,8:05 AM,11:53 PM,6h 15m,Seattle/Tacoma Intl,1,1,2,"1,436"
2024-02-01,Qatar Airways,20h 50m,Doha,Dallas,8:05 AM,7:55 PM,2h 32m,Atlanta Hartsfield-Jackson,1,1,2,"1,702"
2024-02-01,British Airways,21h 10m,Doha,Dallas,1:50 AM,2:00 PM,3h 00m,London Heathrow,1,1,0,"1,772"
2024-02-01,"flydubai, Emirates",24h 55m,Doha,Dallas,5:00 PM,8:55 AM,7h 25m,Dubai Intl,1,1,2,"1,542"
2024-02-01,British Airways,21h 15m,Doha,Dallas,1:45 AM,2:00 PM,3h 15m,Airport change LGW-LHR,1,1,0,"1,795"
2024-02-01,Qatar Airways,22h 33m,Doha,Dallas,8:15 AM,9:48 PM,2h 50m,Miami,1,1,2,"1,691"
2024-02-01,British Airways,21h 30m,Doha,Dallas,1:30 AM,2:00 PM,3h 30m,Airport change LGW-LHR,1,1,0,"1,795"
2024-02-01,British Airways,24h 08m,Doha,Dallas,8:45 AM,11:53 PM,5h 38m,Philadelphia,1,1,0,"1,517"
2024-02-01,Qatar Airways,21h 45m,Doha,Dallas,8:45 AM,9:30 PM,3h 19m,Philadelphia,1,1,0,"1,744"
2024-02-01,Qatar Airways,22h 44m,Doha,Dallas,8:05 AM,9:49 PM,4h 24m,Atlanta Hartsfield-Jackson,1,1,2,"1,615"
2024-02-01,British Airways,22h 15m,Doha,Dallas,1:50 AM,3:05 PM,4h 15m,London Heathrow,1,1,0,"1,772"
2024-02-01,Qatar Airways,22h 26m,Doha,Dallas,8:05 AM,9:31 PM,3h 15m,Los Angeles,1,1,2,"1,717"
2024-02-01,Qatar Airways,22h 34m,Doha,Dallas,8:05 AM,9:39 PM,4h 43m,Houston George Bush Intcntl,1,1,2,"1,599"
