Date,Airline,Duration,Source,Destination,Departure Time,Arrival Time,Layover Time,Layover Cities,Total stops,Carry bags Count,Checkin bags Count,Price
2024-01-01,British Airways,19h 59m,Doha,Dallas,1:50 AM,12:49 PM,1h 55m,London Heathrow,1,1,1,"1,776"
2024-01-01,"Egypt Air, ITA Airways",50h 24m,Doha,Dallas,4:20 AM,9:44 PM,"11h 00m,13h 50m,3h 50m","Cairo,Rome Fiumicino,New York John F Kennedy Intl",3,1,0,"1,195"
2024-01-01,Qatar Airways,16h 10m,Doha,Dallas,8:05 AM,3:15 PM,,,0,1,0,"2,115"
2024-01-01,"Iberia, British Airways",24h 44m,Doha,Dallas,12:55 AM,4:39 PM,5h 30m,Madrid Barajas,1,1,1,"1,680"
2024-01-01,Qatar Airways,17h 15m,Doha,Dallas,1:25 AM,9:40 AM,,,0,1,0,"2,115"
2024-01-01,British Airways,21h 04m,Doha,Dallas,1:50 AM,1:54 PM,3h 00m,London Heathrow,1,1,1,"1,776"
2024-01-01,Iberia,24h 44m,Doha,Dallas,12:55 AM,4:39 PM,5h 30m,Madrid Barajas,1,1,1,"1,757"
2024-01-01,Qatar Airways,21h 50m,Doha,Dallas,8:45 AM,9:35 PM,3h 16m,Philadelphia,1,1,0,"1,803"
2024-01-01,British Airways,25h 29m,Doha,Dallas,1:50 AM,6:19 PM,7h 25m,London Heathrow,1,1,1,"1,776"
2024-01-01,British Airways,21h 24m,Doha,Dallas,1:30 AM,1:54 PM,3h 30m,Airport change LGW-LHR,1,1,0,"1,936"
2024-01-01,Royal Jordanian,24h 18m,Doha,Dallas,6:15 AM,9:33 PM,"1h 10m,3h 46m","Amman Queen Alia Intl,Chicago O'Hare Intl",2,1,0,"1,756"
2024-01-01,"Iberia, British Airways",26h 40m,Doha,Dallas,1:55 AM,7:35 PM,"3h 35m,2h 46m","Barcelona-El Prat,New York John F Kennedy Intl",2,1,1,"1,723"
2024-01-01,Royal Jordanian,25h 54m,Doha,Dallas,6:15 AM,11:09 PM,"1h 10m,5h 21m","Amman Queen Alia Intl,Chicago O'Hare Intl",2,1,0,"1,756"
2024-01-01,Turkish Airlines,21h 00m,Doha,Dallas,6:50 AM,6:50 PM,3h 05m,Istanbul,1,1,0,"2,237"
2024-01-01,British Airways,25h 49m,Doha,Dallas,1:30 AM,6:19 PM,7h 55m,Airport change LGW-LHR,1,1,0,"1,936"
2024-01-01,British Airways,21h 09m,Doha,Dallas,1:45 AM,1:54 PM,3h 15m,Airport change LGW-LHR,1,1,1,"2,260"
2024-01-01,Qatar Airways,22h 09m,Doha,Dallas,8:05 AM,9:14 PM,2h 56m,Los Angeles,1,1,2,"2,221"
2024-01-01,British Airways,20h 04m,Doha,Dallas,7:15 AM,6:19 PM,2h 05m,London Heathrow,1,1,0,"2,420"
2024-01-01,"flydubai, Emirates",20h 50m,Doha,Dallas,9:05 PM,8:55 AM,3h 20m,Dubai Intl,1,1,0,"2,209"
2024-01-01,American Airlines,25h 22m,Doha,Dallas,8:15 AM,12:37 AM,5h 41m,Miami,1,1,1,"2,084"
2024-01-01,Qatar Airways,19h 59m,Doha,Dallas,1:50 AM,12:49 PM,1h 55m,London Heathrow,1,1,2,"2,567"
2024-01-01,British Airways,19h 39m,Doha,Dallas,7:40 AM,6:19 PM,1h 35m,London Heathrow,1,1,1,"2,629"
2024-01-01,Qatar Airways,20h 33m,Doha,Dallas,8:05 AM,7:38 PM,1h 56m,Seattle/Tacoma Intl,1,1,2,"2,541"
2024-01-01,"Qatar Airways, Turkish Airlines",20h 00m,Doha,Dallas,7:50 AM,6:50 PM,2h 20m,Istanbul,1,1,0,"2,311"
2024-01-01,Qatar Airways,21h 04m,Doha,Dallas,1:50 AM,1:54 PM,3h 00m,London Heathrow,1,1,2,"2,567"
2024-01-01,British Airways,21h 24m,Doha,Dallas,1:30 AM,1:54 PM,3h 30m,Airport change LGW-LHR,1,1,1,"2,529"
2024-01-01,Turkish Airlines,25h 45m,Doha,Dallas,2:05 AM,6:50 PM,7h 50m,Istanbul,1,1,0,"2,237"
2024-01-01,British Airways,25h 34m,Doha,Dallas,1:45 AM,6:19 PM,7h 40m,Airport change LGW-LHR,1,1,1,"2,260"
2024-01-01,"flydubai, Emirates",22h 55m,Doha,Dallas,7:00 PM,8:55 AM,5h 25m,Dubai Intl,1,1,0,"2,209"
2024-01-01,Qatar Airways,22h 29m,Doha,Dallas,8:05 AM,9:34 PM,3h 52m,Seattle/Tacoma Intl,1,1,2,"2,541"
2024-01-01,"British Airways, Iberia",21h 04m,Doha,Dallas,1:50 AM,1:54 PM,3h 00m,London Heathrow,1,1,0,"2,453"
2024-01-01,Qatar Airways,20h 20m,Doha,Dallas,8:15 AM,7:35 PM,1h 21m,New York John F Kennedy Intl,1,1,2,"3,268"
2024-01-01,Qatar Airways,21h 44m,Doha,Dallas,8:15 AM,8:59 PM,2h 01m,Miami,1,1,2,"3,181"
2024-01-01,"Royal Jordanian, Turkish Airlines",21h 35m,Doha,Dallas,6:15 AM,6:50 PM,"1h 00m,1h 35m","Amman Queen Alia Intl,Istanbul",2,1,0,"2,093"
2024-01-01,Qatar Airways,24h 28m,Doha,Dallas,8:05 AM,11:33 PM,5h 16m,San Francisco,1,1,2,"2,556"
2024-01-01,Qatar Airways,24h 54m,Doha,Dallas,8:05 AM,11:59 PM,6h 17m,Seattle/Tacoma Intl,1,1,2,"2,541"
2024-01-01,British Airways,25h 49m,Doha,Dallas,1:30 AM,6:19 PM,"3h 40m,3h 00m","Manchester,London Heathrow",2,1,0,"2,127"
2024-01-01,"Gulf Air, Emirates",23h 50m,Doha,Dallas,6:05 PM,8:55 AM,"1h 30m,4h 00m","Manama Bahrain Intl,Dubai Intl",2,1,0,"2,069"
2024-01-01,"Iberia, British Airways",25h 24m,Doha,Dallas,1:55 AM,6:19 PM,"1h 10m,4h 05m","Barcelona-El Prat,London Heathrow",2,1,1,"2,244"
2024-01-01,"Qatar Airways, Air Canada",23h 49m,Doha,Dallas,1:20 AM,4:09 PM,"2h 55m,2h 20m","Edinburgh Turnhouse,Toronto Pearson Intl",2,1,2,"2,357"
2024-01-01,British Airways,25h 57m,Doha,Dallas,7:40 AM,12:37 AM,"2h 00m,3h 11m","London Heathrow,Miami",2,1,0,"2,451"
2024-01-01,British Airways,23h 20m,Doha,Dallas,7:15 AM,9:35 PM,"1h 25m,2h 06m","London Heathrow,Philadelphia",2,1,0,"2,660"
