Date,Airline,Duration,Source,Destination,Departure Time,Arrival Time,Layover Time,Layover Cities,Total stops,Carry bags Count,Checkin bags Count,Price
2024-03-01,Finnair,40h 05m,Doha,Dallas,8:05 AM,3:10 PM,22h 10m,Helsinki-Vantaa,1,1,0,766
2024-03-01,Qatar Airways,16h 10m,Doha,Dallas,8:05 AM,3:15 PM,,,0,1,2,"1,399"
2024-03-01,Qatar Airways,17h 15m,Doha,Dallas,1:25 AM,9:40 AM,,,0,1,2,"1,399"
2024-03-01,Turkish Airlines,21h 00m,Doha,Dallas,6:50 AM,6:50 PM,3h 05m,Istanbul,1,1,2,"1,245"
2024-03-01,Turkish Airlines,25h 45m,Doha,Dallas,2:05 AM,6:50 PM,7h 50m,Istanbul,1,1,2,"1,260"
2024-03-01,Qatar Airways,20h 50m,Doha,Dallas,8:05 AM,7:55 PM,2h 06m,Seattle/Tacoma Intl,1,1,2,"1,436"
2024-03-01,British Airways,20h 00m,Doha,Dallas,8:55 AM,7:55 PM,1h 40m,Philadelphia,1,1,0,"1,517"
2024-03-01,"flydubai, Emirates",20h 50m,Doha,Dallas,9:05 PM,8:55 AM,3h 20m,Dubai Intl,1,1,2,"1,598"
2024-03-01,"Egypt Air, Turkish Airlines",23h 30m,Doha,Dallas,4:20 AM,6:50 PM,"3h 10m,1h 05m","Cairo,Istanbul",2,1,0,"1,218"
2024-03-01,Qatar Airways,22h 40m,Doha,Dallas,8:05 AM,9:45 PM,3h 24m,San Francisco,1,1,2,"1,436"
2024-03-01,Qatar Airways,22h 40m,Doha,Dallas,8:05 AM,9:45 PM,3h 57m,Seattle/Tacoma Intl,1,1,2,"1,436"
2024-03-01,British Airways,21h 20m,Doha,Dallas,8:55 AM,9:15 PM,3h 05m,Philadelphia,1,1,0,"1,517"
2024-03-01,"Qatar Airways, Turkish Airlines",20h 00m,Doha,Dallas,7:50 AM,6:50 PM,2h 20m,Istanbul,1,1,0,"1,594"
2024-03-01,"Pegasus Airlines, Turkish Airlines",25h 45m,Doha,Dallas,2:05 AM,6:50 PM,8h 00m,Airport change SAW-IST,1,1,0,"1,356"
2024-03-01,British Airways,19h 45m,Doha,Dallas,7:40 AM,6:25 PM,1h 35m,London Heathrow,1,1,0,"1,772"
2024-03-01,British Airways,19h 45m,Doha,Dallas,7:40 AM,6:25 PM,1h 35m,London Heathrow,1,1,0,"1,772"
2024-03-01,"Qatar Airways, Turkish Airlines",20h 00m,Doha,Dallas,7:50 AM,6:50 PM,2h 20m,Istanbul,1,1,0,"1,594"
2024-03-01,British Airways,20h 05m,Doha,Dallas,1:50 AM,12:55 PM,1h 55m,London Heathrow,1,1,0,"1,772"
2024-03-01,British Airways,20h 10m,Doha,Dallas,7:15 AM,6:25 PM,2h 00m,London Heathrow,1,1,0,"1,772"
2024-03-01,Qatar Airways,20h 50m,Doha,Dallas,8:05 AM,7:55 PM,2h 28m,Atlanta Hartsfield-Jackson,1,1,2,"1,615"
2024-03-01,Qatar Airways,24h 50m,Doha,Dallas,8:05 AM,11:55 PM,6h 15m,Seattle/Tacoma Intl,1,1,2,"1,436"
2024-03-01,Qatar Airways,20h 00m,Doha,Dallas,8:55 AM,7:55 PM,1h 40m,Philadelphia,1,1,0,"1,744"
2024-03-01,"Etihad Airways, American Airlines",24h 49m,Doha,Dallas,10:50 PM,2:39 PM,"2h 15m,3h 55m","Abu Dhabi Intl,Chicago O'Hare Intl",2,1,2,"1,411"
2024-03-01,British Airways,21h 15m,Doha,Dallas,1:50 AM,2:05 PM,3h 05m,London Heathrow,1,1,0,"1,772"
2024-03-01,Qatar Airways,20h 40m,Doha,Dallas,8:15 AM,7:55 PM,1h 54m,Boston Logan Intl,1,1,2,"1,767"
2024-03-01,British Airways,21h 20m,Doha,Dallas,1:45 AM,2:05 PM,3h 20m,Airport change LGW-LHR,1,1,0,"1,795"
2024-03-01,Qatar Airways,20h 50m,Doha,Dallas,8:05 AM,7:55 PM,2h 59m,Houston George Bush Intcntl,1,1,2,"1,687"
2024-03-01,"flydubai, Emirates",24h 55m,Doha,Dallas,5:00 PM,8:55 AM,7h 25m,Dubai Intl,1,1,2,"1,542"
2024-03-01,British Airways,23h 51m,Doha,Dallas,8:55 AM,11:46 PM,5h 20m,Philadelphia,1,1,0,"1,517"
2024-03-01,British Airways,21h 35m,Doha,Dallas,1:30 AM,2:05 PM,3h 35m,Airport change LGW-LHR,1,1,0,"1,795"
2024-03-01,British Airways,22h 15m,Doha,Dallas,1:50 AM,3:05 PM,4h 15m,London Heathrow,1,1,0,"1,772"
2024-03-01,Qatar Airways,22h 30m,Doha,Dallas,8:15 AM,9:45 PM,3h 39m,New York John F Kennedy Intl,1,1,2,"1,661"
2024-03-01,Qatar Airways,22h 15m,Doha,Dallas,8:30 AM,9:45 PM,4h 05m,Chicago O'Hare Intl,1,1,2,"1,634"
2024-03-01,British Airways,22h 20m,Doha,Dallas,1:45 AM,3:05 PM,4h 30m,Airport change LGW-LHR,1,1,0,"1,795"
2024-03-01,Qatar Airways,22h 40m,Doha,Dallas,8:05 AM,9:45 PM,4h 18m,Atlanta Hartsfield-Jackson,1,1,2,"1,615"
2024-03-01,British Airways,22h 35m,Doha,Dallas,1:30 AM,3:05 PM,4h 45m,Airport change LGW-LHR,1,1,0,"1,795"
2024-03-01,Qatar Airways,22h 17m,Doha,Dallas,8:05 AM,9:22 PM,3h 15m,Los Angeles,1,1,2,"1,717"
2024-03-01,Qatar Airways,20h 08m,Doha,Dallas,8:30 AM,7:38 PM,1h 55m,Chicago O'Hare Intl,1,1,2,"1,999"
2024-03-01,Qatar Airways,22h 40m,Doha,Dallas,8:05 AM,9:45 PM,4h 49m,Houston George Bush Intcntl,1,1,2,"1,599"
2024-03-01,British Airways,23h 55m,Doha,Dallas,1:50 AM,4:45 PM,5h 45m,London Heathrow,1,1,0,"1,772"
2024-03-01,Qatar Airways,22h 30m,Doha,Dallas,8:15 AM,9:45 PM,2h 55m,Miami,1,1,2,"1,964"
2024-03-01,Qatar Airways,25h 15m,Doha,Dallas,1:25 AM,5:40 PM,6h 10m,New York John F Kennedy Intl,1,1,2,"1,661"
2024-03-01,"Iberia, British Airways",23h 45m,Doha,Dallas,1:55 AM,4:40 PM,"2h 40m,1h 30m","Barcelona-El Prat,Madrid Barajas",2,1,1,"1,698"
