Date,Airline,Duration,Source,Destination,Departure Time,Arrival Time,Layover Time,Layover Cities,Total stops,Carry bags Count,Checkin bags Count,Price
2024-04-01,United Airlines,13h 10m,Los Angeles,London,1:15 pm,10:25 am,1h 12m,San Francisco,1,1.0,0.0,973
2024-04-01,Delta,10h 20m,Los Angeles,London,10:00 pm,4:20 pm,,,0,1.0,0.0,"1,252"
2024-04-01,Iberia,10h 40m,Los Angeles,London,11:20 pm,6:00 pm,,,0,1.0,0.0,"1,255"
2024-04-01,British Airways,10h 40m,Los Angeles,London,11:20 pm,6:00 pm,,,0,1.0,0.0,"1,255"
2024-04-01,American Airlines,10h 40m,Los Angeles,London,11:20 pm,6:00 pm,,,0,1.0,0.0,"1,255"
2024-04-01,Finnair,10h 40m,Los Angeles,London,11:20 pm,6:00 pm,,,0,1.0,0.0,"1,255"
2024-04-01,United Airlines,13h 50m,Los Angeles,London,2:30 pm,12:20 pm,2h 30m,Denver Intl,1,1.0,0.0,973
2024-04-01,Air Canada,14h 05m,Los Angeles,London,11:55 am,10:00 am,2h 32m,Toronto Pearson Intl,1,1.0,0.0,981
2024-04-01,WestJet,15h 30m,Los Angeles,London,12:50 pm,12:20 pm,3h 47m,Calgary,1,1.0,0.0,856
2024-04-01,Alaska Airlines,10h 40m,Los Angeles,London,11:20 pm,6:00 pm,,,0,1.0,1.0,"1,265"
2024-04-01,United Airlines,14h 00m,Los Angeles,London,4:10 pm,2:10 pm,2h 05m,San Francisco,1,1.0,0.0,973
2024-04-01,Air Canada,14h 25m,Los Angeles,London,2:55 pm,1:20 pm,1h 58m,Vancouver Intl,1,1.0,0.0,973
2024-04-01,Lufthansa,14h 30m,Los Angeles,London,5:15 pm,3:45 pm,1h 20m,Munich Franz Josef Strauss,1,1.0,0.0,946
2024-04-01,SWISS,14h 35m,Los Angeles,London,7:20 pm,5:55 pm,1h 50m,Zurich,1,1.0,0.0,945
2024-04-01,United Airlines,14h 05m,Los Angeles,London,1:30 pm,11:35 am,1h 30m,Houston George Bush Intcntl,1,1.0,0.0,973
2024-04-01,Air Canada,14h 30m,Los Angeles,London,8:00 am,6:30 am,2h 58m,Montreal Pierre Elliott Trudeau Intl,1,1.0,0.0,973
2024-04-01,Lufthansa,10h 35m,Los Angeles,London,5:10 pm,11:45 am,,,0,1.0,0.0,"1,473"
2024-04-01,United Airlines,14h 35m,Los Angeles,London,11:05 am,9:40 am,3h 14m,Denver Intl,1,1.0,0.0,973
2024-04-01,Air Canada,14h 55m,Los Angeles,London,7:40 am,6:35 am,3h 05m,Toronto Pearson Intl,1,1.0,0.0,981
2024-04-01,United Airlines,14h 40m,Los Angeles,London,8:15 am,6:55 am,2h 52m,San Francisco,1,1.0,0.0,973
2024-04-01,Lufthansa,10h 35m,Los Angeles,London,12:50 pm,7:25 am,,,0,1.0,0.0,"1,473"
2024-04-01,Aer Lingus,10h 25m,Los Angeles,London,8:55 pm,3:20 pm,,,0,1.0,1.0,"1,516"
2024-04-01,"Lynx Air, Lufthansa",13h 00m,Los Angeles,London,11:35 am,8:35 am,1h 31m,Toronto Pearson Intl,1,1.0,0.0,877
2024-04-01,Lufthansa,13h 13m,Los Angeles,London,2:12 pm,11:25 am,0h 53m,Chicago O'Hare Intl,1,1.0,1.0,"1,176"
2024-04-01,United Airlines,15h 05m,Los Angeles,London,1:15 pm,12:20 pm,3h 50m,Denver Intl,1,1.0,0.0,973
