Date,Airline,Duration,Source,Destination,Departure Time,Arrival Time,Layover Time,Layover Cities,Total stops,Carry bags Count,Checkin bags Count,Price
2024-01-01,Lufthansa,10h 30m,Los Angeles,London,7:00 pm,1:30 pm,,,0,1.0,0,507
2024-01-01,"Norse Atlantic UK, National Express",13h 25m,Los Angeles,London,4:25 pm,1:50 pm,1h 55m,London Gatwick,1,1.0,0,424
2024-01-01,United Airlines,10h 30m,Los Angeles,London,7:00 pm,1:30 pm,,,0,1.0,0,558
2024-01-01,Austrian Airlines,10h 30m,Los Angeles,London,7:00 pm,1:30 pm,,,0,1.0,1,753
2024-01-01,Brussels Airlines,10h 30m,Los Angeles,London,7:00 pm,1:30 pm,,,0,1.0,1,753
2024-01-01,Lufthansa,14h 20m,Los Angeles,London,5:30 pm,3:50 pm,1h 05m,Munich Franz Josef Strauss,1,1.0,0,532
2024-01-01,United Airlines,12h 40m,Los Angeles,London,1:00 pm,9:40 am,1h 06m,Denver Intl,1,1.0,0,558
2024-01-01,British Airways,10h 20m,Los Angeles,London,8:50 pm,3:10 pm,,,0,1.0,0,836
2024-01-01,Lufthansa,13h 40m,Los Angeles,London,3:05 pm,12:45 pm,1h 05m,Frankfurt am Main,1,1.0,0,557
2024-01-01,United Airlines,13h 25m,Los Angeles,London,8:30 am,5:55 am,1h 10m,Chicago O'Hare Intl,1,1.0,0,558
2024-01-01,SWISS,14h 30m,Los Angeles,London,7:20 pm,5:50 pm,1h 50m,Zurich,1,1.0,0,531
2024-01-01,United Airlines,13h 30m,Los Angeles,London,10:25 am,7:55 am,1h 21m,Chicago O'Hare Intl,1,1.0,0,558
2024-01-01,United Airlines,13h 14m,Los Angeles,London,12:26 pm,9:40 am,1h 40m,Denver Intl,1,1.0,0,558
2024-01-01,Iberia,10h 20m,Los Angeles,London,8:50 pm,3:10 pm,,,0,1.0,1,864
2024-01-01,Lufthansa,13h 25m,Los Angeles,London,8:30 am,5:55 am,1h 10m,Chicago O'Hare Intl,1,1.0,1,580
2024-01-01,Lufthansa,15h 35m,Los Angeles,London,5:30 pm,5:05 pm,2h 20m,Munich Franz Josef Strauss,1,1.0,0,533
2024-01-01,Iberia,10h 30m,Los Angeles,London,11:30 pm,6:00 pm,,,0,1.0,1,864
2024-01-01,Iberia,10h 35m,Los Angeles,London,7:45 pm,2:20 pm,,,0,1.0,1,864
2024-01-01,SWISS,15h 55m,Los Angeles,London,7:20 pm,7:15 pm,3h 10m,Zurich,1,1.0,0,532
2024-01-01,Alaska Airlines,10h 30m,Los Angeles,London,11:30 pm,6:00 pm,,,0,1.0,1,881
2024-01-01,British Airways,10h 20m,Los Angeles,London,6:10 pm,12:30 pm,,,0,1.0,0,901
2024-01-01,Air France,10h 40m,Los Angeles,London,7:00 pm,1:40 pm,,,0,1.0,0,875
2024-01-01,Finnair,10h 30m,Los Angeles,London,11:30 pm,6:00 pm,,,0,1.0,1,884
2024-01-01,Finnair,10h 30m,Los Angeles,London,5:10 pm,11:40 am,,,0,1.0,1,884
2024-01-01,British Airways,10h 30m,Los Angeles,London,11:30 pm,6:00 pm,,,0,1.0,1,884
