,Date,Airline,Duration,Source,Destination,Departure Time,Arrival Time,Layover Time,Layover Cities,Total stops,Carry bags Count,Checkin bags Count,Price
0,2024-04-02,United Airlines,,New York,Dubai,9:50 pm,10:35 pm,2h 25m,Frankfurt am Main,1,1.0,2.0,"1,051"
1,2024-04-02,Air Canada,,New York,Dubai,4:30 pm,7:45 pm,4h 34m,Toronto Pearson Intl,1,1.0,1.0,"1,009"
2,2024-04-02,SWISS,,New York,Dubai,7:00 pm,8:55 pm,"1h 30m,1h 10m","London Heathrow,Zurich",2,1.0,2.0,"1,053"
3,2024-04-02,"United Airlines, SWISS",,New York,Dubai,7:00 pm,8:55 pm,"1h 30m,1h 10m","London Heathrow,Zurich",2,1.0,2.0,"1,056"
4,2024-04-02,SWISS,,New York,Dubai,6:10 pm,8:55 pm,4h 30m,Zurich,1,1.0,2.0,"1,052"
5,2024-04-02,Turkish Airlines,,New York,Dubai,12:20 am,12:20 am,1h 40m,Istanbul,1,1.0,2.0,"1,034"
6,2024-04-02,Air Canada,,New York,Dubai,6:00 pm,7:45 pm,2h 50m,Toronto Pearson Intl,1,1.0,1.0,"1,106"
7,2024-04-02,Lufthansa,,New York,Dubai,7:30 pm,10:35 pm,5h 00m,Frankfurt am Main,1,1.0,2.0,"1,049"
8,2024-04-02,United Airlines,,New York,Dubai,7:30 pm,10:35 pm,5h 00m,Frankfurt am Main,1,1.0,2.0,"1,051"
9,2024-04-02,KLM,,New York,Dubai,9:15 pm,11:00 pm,3h 50m,Amsterdam Schiphol,1,1.0,1.0,"1,032"
10,2024-04-02,SWISS,,New York,Dubai,6:20 pm,8:55 pm,"2h 05m,1h 35m","Paris Charles de Gaulle,Zurich",2,1.0,2.0,"1,047"
11,2024-04-02,Air Canada,,New York,Dubai,3:55 pm,7:45 pm,5h 16m,Toronto Pearson Intl,1,1.0,1.0,"1,009"
12,2024-04-02,"United Airlines, SWISS",,New York,Dubai,6:20 pm,8:55 pm,"2h 05m,1h 35m","Paris Charles de Gaulle,Zurich",2,1.0,2.0,"1,050"
13,2024-04-02,Lufthansa,,New York,Dubai,9:50 pm,10:35 pm,2h 25m,Frankfurt am Main,1,1.0,2.0,"1,049"
14,2024-04-02,"United Airlines, Lufthansa",,New York,Dubai,9:50 pm,10:35 pm,2h 25m,Frankfurt am Main,1,1.0,2.0,"1,051"
15,2024-04-02,United Airlines,,New York,Dubai,7:48 pm,10:35 pm,"0h 52m,2h 00m","Washington, D.C. Dulles Intl,Frankfurt am Main",2,1.0,2.0,"1,051"
16,2024-04-02,Air Canada,,New York,Dubai,3:35 pm,7:45 pm,5h 31m,Toronto Pearson Intl,1,1.0,1.0,"1,009"
17,2024-04-02,Lufthansa,,New York,Dubai,8:00 pm,10:35 pm,"2h 10m,1h 05m","London Heathrow,Frankfurt am Main",2,1.0,2.0,"1,064"
18,2024-04-02,SWISS,,New York,Dubai,6:00 pm,8:55 pm,"2h 20m,1h 10m","London Heathrow,Zurich",2,1.0,2.0,"1,053"
19,2024-04-02,"United Airlines, SWISS",,New York,Dubai,6:00 pm,8:55 pm,"2h 20m,1h 10m","London Heathrow,Zurich",2,1.0,2.0,"1,056"
20,2024-04-02,Lufthansa,,New York,Dubai,8:30 pm,10:35 pm,"0h 40m,2h 10m","Munich Franz Josef Strauss,Frankfurt am Main",2,1.0,2.0,"1,061"
21,2024-04-02,Lufthansa,,New York,Dubai,8:30 pm,10:35 pm,"1h 40m,1h 10m","Munich Franz Josef Strauss,Frankfurt am Main",2,1.0,2.0,"1,061"
22,2024-04-02,United Airlines,,New York,Dubai,7:20 pm,10:35 pm,"1h 12m,2h 00m","Washington, D.C. Dulles Intl,Frankfurt am Main",2,1.0,2.0,"1,051"
23,2024-04-02,Air Canada,,New York,Dubai,5:00 pm,7:45 pm,3h 50m,Toronto Pearson Intl,1,1.0,1.0,"1,106"
24,2024-04-02,United Airlines,,New York,Dubai,5:12 pm,8:55 pm,"2h 01m,1h 55m","Washington, D.C. Dulles Intl,Zurich",2,1.0,2.0,"1,026"
25,2024-04-02,SWISS,,New York,Dubai,4:25 pm,8:55 pm,6h 35m,Zurich,1,1.0,2.0,"1,024"
26,2024-04-02,Air Canada,,New York,Dubai,3:40 pm,7:45 pm,"2h 54m,1h 04m","Montreal Pierre Elliott Trudeau Intl,Toronto Pearson Intl",2,1.0,1.0,"1,009"
27,2024-04-02,Air Canada,,New York,Dubai,3:40 pm,7:45 pm,"1h 54m,2h 04m","Montreal Pierre Elliott Trudeau Intl,Toronto Pearson Intl",2,1.0,1.0,"1,009"
28,2024-04-02,United Airlines,,New York,Dubai,4:25 pm,8:55 pm,6h 35m,Zurich,1,1.0,2.0,"1,026"
29,2024-04-02,SWISS,,New York,Dubai,5:30 pm,8:55 pm,"2h 30m,1h 50m","Geneva Geneve-Cointrin,Zurich",2,1.0,2.0,"1,062"
30,2024-04-02,SWISS,,New York,Dubai,5:30 pm,8:55 pm,"3h 30m,0h 50m","Geneva Geneve-Cointrin,Zurich",2,1.0,2.0,"1,062"
31,2024-04-02,"United Airlines, SWISS",,New York,Dubai,9:50 pm,8:55 pm,1h 10m,Zurich,1,1.0,2.0,"1,225"
32,2024-04-02,Lufthansa,,New York,Dubai,8:00 pm,10:35 pm,"1h 10m,2h 05m","London Heathrow,Frankfurt am Main",2,1.0,2.0,"1,066"
33,2024-04-02,Lufthansa,,New York,Dubai,7:00 pm,10:35 pm,"1h 20m,3h 05m","London Heathrow,Frankfurt am Main",2,1.0,2.0,"1,064"
34,2024-04-02,Lufthansa,,New York,Dubai,7:00 pm,10:35 pm,"3h 20m,1h 05m","London Heathrow,Frankfurt am Main",2,1.0,2.0,"1,064"
35,2024-04-02,Lufthansa,,New York,Dubai,7:00 pm,10:35 pm,"2h 20m,2h 05m","London Heathrow,Frankfurt am Main",2,1.0,2.0,"1,064"
36,2024-04-02,Turkish Airlines,,New York,Dubai,7:25 pm,12:20 am,6h 25m,Istanbul,1,1.0,2.0,"1,034"
37,2024-04-02,United Airlines,,New York,Dubai,6:00 pm,10:35 pm,6h 40m,Frankfurt am Main,1,1.0,2.0,"1,051"
38,2024-04-02,Turkish Airlines,,New York,Dubai,12:05 am,2:25 am,4h 10m,Istanbul,1,1.0,0.0,"1,060"
39,2024-04-02,Lufthansa,,New York,Dubai,6:20 pm,10:35 pm,"2h 00m,3h 10m","Paris Charles de Gaulle,Frankfurt am Main",2,1.0,2.0,"1,058"
40,2024-04-02,Lufthansa,,New York,Dubai,6:20 pm,10:35 pm,"2h 45m,2h 25m","Paris Charles de Gaulle,Frankfurt am Main",2,1.0,2.0,"1,058"
41,2024-04-02,Lufthansa,,New York,Dubai,6:20 pm,10:35 pm,"3h 55m,1h 15m","Paris Charles de Gaulle,Frankfurt am Main",2,1.0,2.0,"1,058"
42,2024-04-02,United Airlines,,New York,Dubai,6:05 pm,10:35 pm,"2h 45m,2h 00m","Washington, D.C. Dulles Intl,Frankfurt am Main",2,1.0,2.0,"1,051"
43,2024-04-02,Lufthansa,,New York,Dubai,6:00 pm,10:35 pm,6h 40m,Frankfurt am Main,1,1.0,2.0,"1,049"
44,2024-04-02,Lufthansa,,New York,Dubai,6:00 pm,10:35 pm,"4h 10m,1h 05m","London Heathrow,Frankfurt am Main",2,1.0,2.0,"1,064"
45,2024-04-02,Lufthansa,,New York,Dubai,6:00 pm,10:35 pm,"3h 10m,2h 05m","London Heathrow,Frankfurt am Main",2,1.0,2.0,"1,064"
46,2024-04-02,Lufthansa,,New York,Dubai,6:00 pm,10:35 pm,"2h 10m,3h 05m","London Heathrow,Frankfurt am Main",2,1.0,2.0,"1,064"
47,2024-04-02,Lufthansa,,New York,Dubai,6:00 pm,10:35 pm,"1h 10m,4h 05m","London Heathrow,Frankfurt am Main",2,1.0,2.0,"1,064"
48,2024-04-02,Oman Air,,New York,Dubai,10:45 am,3:40 pm,"4h 15m,1h 20m","Doha Hamad Intl,Muscat See",2,1.0,0.0,"1,029"
49,2024-04-02,Turkish Airlines,,New York,Dubai,12:20 am,2:25 am,3h 40m,Istanbul,1,1.0,2.0,"1,092"
50,2024-04-02,SWISS,,New York,Dubai,7:05 pm,8:55 pm,"0h 50m,1h 05m","Barcelona-El Prat,Zurich",2,1.0,1.0,"1,238"
51,2024-04-02,SWISS,,New York,Dubai,6:55 pm,8:55 pm,"1h 35m,1h 05m","Milan Malpensa,Zurich",2,1.0,1.0,"1,258"
52,2024-04-02,Lufthansa,,New York,Dubai,5:20 pm,10:35 pm,"2h 35m,3h 10m","Munich Franz Josef Strauss,Frankfurt am Main",2,1.0,2.0,"1,059"
53,2024-04-02,Lufthansa,,New York,Dubai,5:20 pm,10:35 pm,"1h 35m,4h 10m","Munich Franz Josef Strauss,Frankfurt am Main",2,1.0,2.0,"1,059"
54,2024-04-02,Lufthansa,,New York,Dubai,5:20 pm,10:35 pm,"4h 35m,1h 10m","Munich Franz Josef Strauss,Frankfurt am Main",2,1.0,2.0,"1,059"
55,2024-04-02,Lufthansa,,New York,Dubai,5:20 pm,10:35 pm,"3h 35m,2h 10m","Munich Franz Josef Strauss,Frankfurt am Main",2,1.0,2.0,"1,059"
56,2024-04-02,Lufthansa,,New York,Dubai,5:30 pm,10:35 pm,"1h 45m,3h 40m","Geneva Geneve-Cointrin,Frankfurt am Main",2,1.0,2.0,"1,073"
57,2024-04-02,SWISS,,New York,Dubai,6:30 pm,8:55 pm,"2h 00m,1h 40m","Brussels Bruxelles-National,Zurich",2,1.0,2.0,"1,256"
58,2024-04-02,KLM,,New York,Dubai,7:30 pm,11:00 pm,5h 05m,Amsterdam Schiphol,1,1.0,1.0,"1,238"
59,2024-04-02,"United Airlines, SWISS",,New York,Dubai,6:30 pm,8:55 pm,"2h 00m,1h 40m","Brussels Bruxelles-National,Zurich",2,1.0,2.0,"1,259"
60,2024-04-03,Emirates,12h 30m,New York,Dubai,11:20 am,7:50 am,,,0,1.0,2.0,"1,082"
