,Date,Airline,Duration,Source,Destination,Departure Time,Arrival Time,Layover Time,Layover Cities,Total stops,Carry bags Count,Checkin bags Count,Price
0,2024-02-01,Emirates,18h 00m,New York,Dubai,10:00 pm,1:00 am,3h 55m,Lisbon Humberto Delgado,1,1.0,2.0,"1,063"
1,2024-02-01,Kuwait Airways,15h 55m,New York,Dubai,5:00 pm,5:55 pm,2h 00m,Kuwait City,1,1.0,2.0,550
2,2024-02-01,Qatar Airways,14h 50m,New York,Dubai,10:25 am,10:15 am,1h 10m,Doha Hamad Intl,1,1.0,2.0,677
3,2024-02-01,United Airlines,13h 10m,New York,Dubai,9:30 pm,7:40 pm,,,0,1.0,1.0,"1,001"
4,2024-02-01,Kuwait Airways,19h 55m,New York,Dubai,5:00 pm,9:55 pm,6h 00m,Kuwait City,1,1.0,2.0,550
5,2024-02-01,Emirates,12h 25m,New York,Dubai,11:00 pm,8:25 pm,,,0,1.0,2.0,"1,133"
6,2024-02-01,Emirates,12h 30m,New York,Dubai,10:40 am,8:10 am,,,0,1.0,2.0,"1,130"
7,2024-02-01,SAUDIA,17h 00m,New York,Dubai,11:00 am,1:00 pm,2h 25m,Jeddah King Abdulaziz Intl,1,1.0,2.0,741
8,2024-02-01,Royal Jordanian,15h 25m,New York,Dubai,9:10 pm,9:35 pm,1h 25m,Amman Queen Alia Intl,1,1.0,2.0,819
9,2024-02-01,Egypt Air,18h 00m,New York,Dubai,12:00 pm,3:00 pm,4h 30m,Cairo,1,1.0,2.0,774
10,2024-02-01,Multiple Airlines,20h 55m,New York,Dubai,6:10 pm,12:05 am,"1h 40m,3h 45m","London Gatwick,Istanbul",2,0.0,0.0,575
11,2024-02-01,Etihad Airways,15h 25m,New York,Dubai,10:00 pm,10:25 pm,0h 55m,Abu Dhabi Intl,1,1.0,2.0,894
12,2024-02-01,Air France,15h 50m,New York,Dubai,10:30 pm,11:20 pm,1h 35m,Paris Charles de Gaulle,1,1.0,1.0,892
13,2024-02-01,SAUDIA,20h 00m,New York,Dubai,11:00 am,4:00 pm,5h 30m,Jeddah King Abdulaziz Intl,1,1.0,2.0,756
14,2024-02-01,Air France,16h 50m,New York,Dubai,9:30 pm,11:20 pm,2h 50m,Paris Charles de Gaulle,1,1.0,1.0,892
15,2024-02-01,Qatar Airways,17h 25m,New York,Dubai,1:25 am,3:50 am,3h 45m,Doha Hamad Intl,1,1.0,0.0,835
16,2024-02-01,Qatar Airways,15h 55m,New York,Dubai,8:20 pm,9:15 pm,2h 15m,Doha Hamad Intl,1,1.0,2.0,924
17,2024-02-01,KLM,17h 40m,New York,Dubai,9:25 pm,12:05 am,4h 00m,Amsterdam Schiphol,1,1.0,1.0,896
18,2024-02-01,SWISS,15h 10m,New York,Dubai,10:05 pm,10:15 pm,1h 25m,Zurich,1,1.0,2.0,"1,024"
19,2024-02-01,United Airlines,15h 10m,New York,Dubai,10:05 pm,10:15 pm,1h 25m,Zurich,1,1.0,2.0,"1,026"
20,2024-02-01,"United Airlines, SWISS",15h 10m,New York,Dubai,10:05 pm,10:15 pm,1h 25m,Zurich,1,1.0,2.0,"1,026"
21,2024-02-01,Royal Jordanian,21h 05m,New York,Dubai,9:10 pm,3:15 am,7h 05m,Amman Queen Alia Intl,1,1.0,2.0,819
22,2024-02-01,Air France,18h 50m,New York,Dubai,7:30 pm,11:20 pm,4h 35m,Paris Charles de Gaulle,1,1.0,1.0,892
23,2024-02-01,Qatar Airways,15h 35m,New York,Dubai,8:20 pm,8:55 pm,1h 55m,Doha Hamad Intl,1,1.0,2.0,"1,037"
24,2024-02-01,Turkish Airlines,15h 30m,New York,Dubai,12:50 pm,1:20 pm,1h 15m,Istanbul,1,1.0,2.0,"1,072"
25,2024-02-01,Air France,19h 50m,New York,Dubai,6:30 pm,11:20 pm,5h 50m,Paris Charles de Gaulle,1,1.0,1.0,892
26,2024-02-01,SWISS,16h 15m,New York,Dubai,9:00 pm,10:15 pm,2h 20m,Zurich,1,1.0,2.0,"1,024"
27,2024-02-01,"United Airlines, SWISS",16h 15m,New York,Dubai,9:00 pm,10:15 pm,2h 20m,Zurich,1,1.0,2.0,"1,026"
28,2024-02-01,United Airlines,16h 15m,New York,Dubai,9:00 pm,10:15 pm,2h 20m,Zurich,1,1.0,2.0,"1,026"
29,2024-02-01,KLM,20h 00m,New York,Dubai,7:05 pm,12:05 am,6h 05m,Amsterdam Schiphol,1,1.0,1.0,896
30,2024-02-01,Air Canada,16h 10m,New York,Dubai,6:40 pm,7:50 pm,1h 11m,Toronto Pearson Intl,1,1.0,1.0,"1,009"
31,2024-02-01,Emirates,15h 25m,New York,Dubai,10:20 pm,10:45 pm,1h 45m,Milan Malpensa,1,1.0,2.0,"1,105"
32,2024-02-01,"EL AL, Arkia",15h 45m,New York,Dubai,1:15 pm,2:00 pm,2h 10m,Tel Aviv Ben Gurion Intl,1,1.0,0.0,978
33,2024-02-01,SWISS,18h 25m,New York,Dubai,6:50 pm,10:15 pm,4h 25m,Zurich,1,1.0,1.0,"1,024"
34,2024-02-01,United Airlines,18h 25m,New York,Dubai,6:50 pm,10:15 pm,4h 25m,Zurich,1,1.0,2.0,"1,026"
35,2024-02-01,Lufthansa,18h 15m,New York,Dubai,7:40 pm,10:55 pm,4h 20m,Frankfurt am Main,1,1.0,2.0,"1,049"
36,2024-02-01,Qatar Airways,18h 40m,New York,Dubai,5:15 pm,8:55 pm,"2h 28m,1h 25m","Boston Logan Intl,Doha Hamad Intl",2,1.0,0.0,950
37,2024-02-01,Air Canada,18h 10m,New York,Dubai,4:40 pm,7:50 pm,3h 11m,Toronto Pearson Intl,1,1.0,1.0,"1,009"
38,2024-02-01,United Airlines,18h 15m,New York,Dubai,7:40 pm,10:55 pm,4h 20m,Frankfurt am Main,1,1.0,2.0,"1,051"
39,2024-02-01,Air Canada,18h 55m,New York,Dubai,3:55 pm,7:50 pm,4h 01m,Toronto Pearson Intl,1,1.0,1.0,"1,009"
40,2024-02-01,Emirates,18h 00m,New York,Dubai,10:00 pm,1:00 am,3h 55m,Lisbon Humberto Delgado,1,1.0,2.0,"1,002"
41,2024-02-01,Gulf Air,18h 40m,New York,Dubai,6:55 pm,10:35 pm,"2h 30m,1h 10m","London Heathrow,Manama Bahrain Intl",2,1.0,2.0,998
42,2024-02-01,Turkish Airlines,16h 35m,New York,Dubai,11:40 pm,1:15 am,2h 25m,Istanbul,1,1.0,2.0,"1,072"
43,2024-02-01,Air Canada,19h 15m,New York,Dubai,3:35 pm,7:50 pm,4h 16m,Toronto Pearson Intl,1,1.0,1.0,"1,009"
44,2024-02-01,"Norse Atlantic Airways, Royal Jordanian",18h 20m,New York,Dubai,11:55 pm,3:15 am,"1h 50m,1h 05m","Paris Charles de Gaulle,Amman Queen Alia Intl",2,1.0,0.0,766
45,2024-02-01,"United Airlines, SWISS",18h 25m,New York,Dubai,6:50 pm,10:15 pm,4h 25m,Zurich,1,1.0,2.0,"1,026"
