,Date,Airline,Duration,Source,Destination,Departure Time,Arrival Time,Layover Time,Layover Cities,Total stops,Carry bags Count,Checkin bags Count,Price
0,2024-01-01,Emirates,12h 25m,New York,Dubai,11:00 pm,8:25 pm,,,0,1.0,2.0,"1,138"
1,2024-01-01,EL AL,15h 35m,New York,Dubai,5:00 pm,5:35 pm,2h 15m,Tel Aviv Ben Gurion Intl,1,1.0,1.0,729
2,2024-01-01,Qatar Airways,23h 50m,New York,Dubai,1:25 am,10:15 am,10h 10m,Doha Hamad Intl,1,1.0,2.0,721
3,2024-01-01,Kuwait Airways,15h 55m,New York,Dubai,5:00 pm,5:55 pm,2h 00m,Kuwait City,1,1.0,2.0,787
4,2024-01-01,Emirates,12h 25m,New York,Dubai,11:00 pm,8:25 pm,,,0,1.0,2.0,"1,121"
5,2024-01-01,Emirates,12h 30m,New York,Dubai,10:40 am,8:10 am,,,0,1.0,2.0,"1,121"
6,2024-01-01,Egypt Air,18h 00m,New York,Dubai,12:00 pm,3:00 pm,3h 55m,Cairo,1,1.0,2.0,776
7,2024-01-01,Egypt Air,18h 00m,New York,Dubai,12:00 pm,3:00 pm,4h 30m,Cairo,1,1.0,2.0,774
8,2024-01-01,Emirates,15h 40m,New York,Dubai,11:45 pm,12:25 am,,,0,1.0,2.0,"1,149"
9,2024-01-01,United Airlines,13h 10m,New York,Dubai,9:30 pm,7:40 pm,,,0,1.0,1.0,"1,175"
10,2024-01-01,EL AL,19h 20m,New York,Dubai,1:15 pm,5:35 pm,6h 00m,Tel Aviv Ben Gurion Intl,1,1.0,1.0,790
11,2024-01-01,Kuwait Airways,19h 55m,New York,Dubai,5:00 pm,9:55 pm,6h 00m,Kuwait City,1,1.0,2.0,787
12,2024-01-01,Qatar Airways,17h 25m,New York,Dubai,1:25 am,3:50 am,3h 45m,Doha Hamad Intl,1,1.0,2.0,872
13,2024-01-01,Egypt Air,22h 00m,New York,Dubai,12:00 pm,7:00 pm,7h 50m,Cairo,1,1.0,2.0,775
14,2024-01-01,Egypt Air,22h 00m,New York,Dubai,12:00 pm,7:00 pm,8h 25m,Cairo,1,1.0,2.0,773
15,2024-01-01,Qatar Airways,14h 50m,New York,Dubai,10:25 am,10:15 am,1h 10m,Doha Hamad Intl,1,1.0,2.0,"1,056"
16,2024-01-01,Emirates,15h 25m,New York,Dubai,10:20 pm,10:45 pm,,,0,1.0,2.0,"1,419"
17,2024-01-01,Turkish Airlines,15h 30m,New York,Dubai,12:50 pm,1:20 pm,1h 15m,Istanbul,1,1.0,2.0,"1,036"
18,2024-01-01,Etihad Airways,16h 40m,New York,Dubai,10:00 pm,11:40 pm,2h 10m,Abu Dhabi Intl,1,1.0,2.0,"1,005"
